tweet,class
La Greta cada vez es más gilipollas 🤣,Yes
@LaFallaras Solo describen lo que eres. Donde esta el problema loca?,Yes
@fomentogob ¿Esta cuenta la dirige Greta majareta?,Yes
"@elespectador LOS REBUZNOS DE LA BURRA MARÍA FERNANDA CABAL DE LOS ESTABLOS URIBISTAS CONTRA  GRETA THUNHERG

"" PATÉTICA ""
"" PLASTICO RECICLABLE ""
"" ECOLOGETA RIDÍCULA ""
SE ME HACE RARO QUE EN ESTE CASO NO REBUZNARA https://t.co/3xG1T1QpCM",Yes
"@larepublica_co Y la estúpida de la, Greta q ha hecho x el clima además d viajar en clase alta y en yate.",Yes
"@LaFallaras Para que no te tengas que imaginar nada...
Toma al chupiprogre de Willy Toledo en LA RUBER, para que le atienda el personal de la privada, con lo que larga él de los pijos...
¡¿No levitas ya, payasa???! https://t.co/Eet1XUlKrL",Yes
"@AdaColau @openarms_fund Estás hablando a niños maldita loca ,no dando un mitin,ellos solo quieren jugar ,no cambiar el mundo .eres una acomplejada",Yes
"@LaFallaras A parte de ser más mala que el cianuro y tener un corazón podrido por el resentimiento de que no te quieran ni en tu casa, estás más loca que una puta cabra",Yes
@amarielgg @carreragonzalo @GobiernodeChile @aprachile @Coquiangelica @GirealaDerecha @joseantoniokast @FridaSiKahlo @JFCuevasVila @supernova_alive Por lo menos está claro que en el @GobiernodeChile no hay nadie hace un par de meses. Un poco antes los vi bien preocupados tratando de sacarse fotos con una cabra chica histérica de nombre Greta.,Yes
@IrantzuVarela Puta loca del coño y terrorista lo tienes todo bonita,Yes
@_Mega_44 hay que reciclar todo ese plastico me lo ha dicho greta majareta,Yes
"@InesArrimadas Menos mal que tú con tus 10 diputados, lo arreglaras todo!!! Etes la montapollos mas votada!!
Motapollos -&gt; penosa -&gt; patetica. next level?",Yes
@LaFallaras Eres patética.,Yes
"Querida greta, me llamo Kiwa y tengo 15años, vivo en un campamento para desplazados en Sudan del sur y he visto y leido las cosas que dices, que te han robado la infancia??, creo que vives en Suecia...,. Sin ánimo de molestar, hay que ser ignorante o tonta para decir algo asi.",Yes
"@mariajoseboloes @iescolar Greta majareta 😂😂😂😂me ha encantado tu definición , genial👌👌👌",Yes
"@cayetanaAT @Milin60 La realidad es que a esta pedazo de loca, al igual que el resto del PSOE y Podemos, no les importa España, por supuesto que mucho menos les importará Venezuela.",Yes
"@LaFallaras @elnacionalcat @ContadorAltsasu A veces pienso que el alcohol hace decir gilipolleces a la gente...luego leo tus twits y me convenzo de ello.
Échate novi@ de una puta vez y deja de echar espuma por la boca, hasta un adefesio como tú tiene su media naranja en algún lado.....ó no...visto tu careto.",Yes
@LaFallaras Yo te imagino a ti y a tu puta familia en un hospital sin insumos médicos gracias a tu mierda de ideología. Zorra asquerosa,Yes
"@InesArrimadas @CiudadanosCs Vete a la puta mierda,so lerda, Estas desesperada porque sabes que vais a desaparecer,tonta más que tonta y lianta",Yes
@monasterioR Patética!!. Que pena de señora,Yes
"@InesArrimadas @CiudadanosCs ¿QUE SANCHEZ RECTIFIQUE? ¡y una mierda, puta tu madre! ¡te queremos muerta!",Yes
"@markelgp No, no eres el único. Casi lo mismo que a Jose Bretón por asesinar, descuartizar y quemar a sus dos hijos pequeños.
Y en el caso de la Arandina la única prueba es la declaración de la chica.
Asi es la justicia española y quienes la aplican",Yes
@InesArrimadas Eres la heredera del adoquín. Patética es poco.,Yes
"Estoy sp de acuerdo con Greta pero les juro que me da mucha desesperación verla, como que siempre tiene cara de loca, no sé cómo explicarlo pero me da mucho conflicto.",Yes
"@nissulo26 @reygorila26 Javi, Greta Thunberg esta tan loca porque jugó a flower, fíjate si tiene mensaje.",Yes
@susanadiaz @sanchezcastejon @CiudadanosCs Más socialistas vende España y ladrones de los eres en la cárcel y menos en la redes sociales payasa.,Yes
"@Irene_Montero_ Y quieres ser ministra. Qué Dios nos coja confesados!!! Por cierto a la otra mujer, a la que llamó cocainómana, mala madre, hija de puta, a esa ni mu. https://t.co/2aKihrV7bT",Yes
"Greta tuitea sobre su viaje en ""tren abarrotado""; empresa ferroviaria responde que lo hizo en primera clase https://t.co/7RCwtiy1rj
Esta muchachita boba, piensa que el mundo le rendira pletesia esta Loca esta mocosa FARSANTE",Yes
@LaFallaras Pues en la mesa de al lado mío han comido una payasa y una gilipollas.,Yes
"@IrantzuVarela Yo me lo ponía en la bio: ""Puta Loca del Coño Terrorista y Bonita"". Tal cual. 
😘",Yes
Bolsonaro llama “mocosa” a Greta Thunberg ➨ https://t.co/ZY2kyJXf4Z,Yes
"@cayetanaAT La bocasucia! Marxa a la teva argentina querida , q hi ha molta feina a fer! Andate querida! Andate a tu patria querida! Carda el camp de casa nostra, q no tens ni puta idea del q ha estat aquest Pais.",Yes
"@AdaColau Has quitado que a parte de subir el precio del metro que ya un viaje no valga durante una hora , he tenido que comprar otro por salir un momento a la calle. Eres una maldita hija de puta.",Yes
"@monasterioR Vaya que patética!
Queriendo dar lecciones de moral cuando ni usted ni su partido la tiene
Ud cree que mentir,estafar y ser corrupto se limpia con un Ave María e ir a misa?
Pues siento decirle que en el siglo XXI ya no cuela pero,claro en el medievo como vive usted aún se lo cree",Yes
"@LaFallaras Borracha? 
También toxicómana? 
Puta, también? 
Loca de los gatos?
Ladrona?  
Tía, eres un partidazo, un «puro» partidazo.",Yes
"@LeticiaDolera No digas por dónde estás o la foto y su cartel de
-hasta una puta matazombie se ca** con el coronavirus!!!",Yes
"@RTVEValencia @telediario_tve @__Varella @YaelMillet ""Calentamiento global"".
Llamen a Greta Majareta...",Yes
@IrantzuVarela @Santi_ABASCAL @ivanedlm En España no se quemaba a nadie. Aprende algo de historia payasa. https://t.co/I9km7AyH6y,Yes
"La cara de @Guaido en su reunión con @realDonaldTrump es un poema, me recuerda a la pequeña, delicada y loca de Greta 😂😂😂",Yes
Un montón de mamertos solapingones analfabetos tontos siguen y hablan maravillas de la manipulada tonta de Greta. Pero no le creen lo que dice esta jovencita de corea del norte. En fin. Prefieren escuchar mentiras que verdaderas realidades que viven los países comunistas. https://t.co/bRilDd5biw,Yes
"@LaFallaras Ostia puta, q repugnante q eres. Ya me gustaría verte a ti toda borracha por ahi. Algún día llegará ese dia",Yes
@CarlaZambelli17 @GretaThunberg Idiota completa!!!,Yes
"@InesArrimadas @Cs_Andalucia Patètica, los falsos los has ""contao"". ?",Yes
"@cayetanaAT @NEBarrios Hija fe la gran puta , coño e madre!! Tarifada! Sucia",Yes
@susanadiaz Resultas más patética de lo habitual cuando pretendes agradar al líder de tu secta,Yes
@AnabelAlonso_of Ahora qué? Payasa,Yes
"Acusar sin pruebas es una costumbre ya, lamentablemente...
Que oscuros intereses se mueven detras de esta ""mocosa""...? https://t.co/hc4Jg0Vril",Yes
18 veces llamó la supuesta “víctima” a uno de los acusados del Arandina (sin que él cogiera el teléfono) el día anterior... y dicen que fue violación... una farsa que si ningún juez lo impide va a llevar a 3 chicos a la cárcel durante 38 años. Ella solo se merece un calificativo,Yes
@MarcelinMarshal @Pedro_Artista @GretaThunberg Tonta UTILizada,Yes
@LaFallaras Con eso el aliento te va a oler de puta madre 👍🏻,Yes
@cayetanaAT Eres una hija de puta.,Yes
@pudrenamaria Greta es una cerda!!!,Yes
"@monasterioR @julia_otero Si te vas un poco más a la puta mierda nos haces un favor, recuerda que estamos ya en el siglo XXI",Yes
@FranVerellen a la mierda los animales ya vas a ver hija de puta greta thunberg me voy a comer un asado de churrasco,Yes
"@LaFallaras @sanchezcastejon Te imaginas si nos devuelven el oro robado, las obras de arte...coño! Y los millones de los Eres? Te imaginas? Pá qué te vas a imaginar eso....pá qué!! Payasa.",Yes
@LaFallaras @populares @CiudadanosCs Eres una perra mala....,Yes
"@InesArrimadas @CiudadanosCs Y de que te sirven los estudios si tu no la llegas ni a la suela de sus zapatos,eres muy patética, no sabes ni hacer política",Yes
