tweet,class
I brought Prussia back  bitch.,Bullying
That sucks... Can you use it on your iphone?,Bullying
yea dani thats kind of gay sorry to tel u lol,Bullying
Fuck off.. I'm not ready!,Bullying
whos? ima slap the bitch.,Bullying
I LOVE how that statement was misconstrued as GAY!!!!,Bullying
DAMN I wish I wasn't in college!,Bullying
 your still gay and a bitch haha,Bullying
happy for you  sucks for me!  this should have been SNOW!,Bullying
fuck the world? Or for the win,Bullying
@TitanLineAudio lol BJ's blow ass :P,Bullying
i hate you.,Bullying
FUCK SUNDAY im super bummed.,Bullying
ditto bitch!,Bullying
"ahah! and i'll say exactly what i'd say to him: ""bitch make your own!"" i kid:P",Bullying
oh damn! anyways next time...DM me ur number or soemthing,Bullying
canadians always make me think shut your fucking face uncle fucker!   http://kenny.smoovenet.com/grabpics/terrance.gif,Bullying
she doesnt want to scar you for life like i could.  cant talk her into sending you the video of they guy with the jar in his ass.,Bullying
enak aja! nick carter ga gay!!,Bullying
I'd die first. Damn fareway.,Bullying
damn australians!,Bullying
no!!!! Ahhh he is fucking crazy hes been killing himself since yesterday still nothing!,Bullying
I don't bother arguing that about Bush anymore because people who admire him have damn near no power post-2008 elections.,Bullying
psh bitch I'm at work running 2 trains with a 70 minute wait stupid kids and dumber parents I don't wanna hear it,Bullying
yeah we all call her a whore and shes all don't call me that! So i called her a slut. And she said im a tease! And i told her  ...,Bullying
wristband is shipping can they put those assclowns in the mail next to be delivered to an ass whoopin?,Bullying
no i dont! He does. I hate his guts!!!,Bullying
i hate sewing. Period.,Bullying
burger in each hand? Wut a fat ass!! Lol,Bullying
you have officially been put on my bread stick mailing list. Fuck those rock republics and eat something already.,Bullying
he's a total loser spending his last howard stern money on internet sex,Bullying
Warm Mt Dew tastes awful. :/ Try Jolt Cola instead. Or maybe even Whoop Ass. http://tinyurl.com/8woa3j,Bullying
 i hate ur fucking guts. u &amp; lindsey? grossest thing ive ever seen,Bullying
we're talking threatening your ability to do business in a professional  not-over-the-top way. w/o being a cunt  somehow.,Bullying
((((((((((HUGS)))))))))) I love you tons and life totally sucks right now! I'm in it with you! LOL! xoxo Karen,Bullying
You are a Linux whore!,Bullying
Hell yeah the drunker the better...is drunker a word..more drunk? I think its more drunk? Fuck it our show is hood. drunkener,Bullying
Take Ur ass home,Bullying
"you know fuck it I'm doing ""Jew-Boy money""",Bullying
Ah. Gay!,Bullying
art IS easy. who the fuck gives A+s?,Bullying
 stop acting like you know everything. your fat. get over yourself you mouthy slag :L and no your not better then everyone else! (:,Bullying
Haha no  I mean that I love the money & my coworkers  but hate how much time the jobs take up. It is fun to hate them though.,Bullying
I always thought of him as Hermy  the wannabe dentist.,Bullying
not on your life  dick-tongue,Bullying
http://twitpic.com/qtt0 - O.O bingo is waaaaay to hard for me. hate it. i wanna fuck it..wait thats didnt come out right,Bullying
lmfao HURRY AND GET THE FUCKING LYRICS.,Bullying
rogue. I hate you and your ability to spell correctly. though some of them were red  but they were communist. not rouge.,Bullying
~ wholeheartedly agree that NYE music entertainment sucks!,Bullying
i feel pretty oh so pretty...i feel pretty and witty and gAY! Ha ha good times,Bullying
no! I think UofA's navy jerseys on white pants rule.  And all red sucks. But seeing BYUs colors  I guess all red makes sense.,Bullying
Damn skippy. I should be dead 10 times over......,Bullying
Hot damn  champ right here! Had the old school TT shell helmet on for the whole trip. Backwards even! Huoooooooah!,Bullying
bitch what ? hahaha. j/k.,Bullying
twinface it's ATCQ...your drunk ass can't type lol,Bullying
you own a gun? remind me not to piss you off anymore.,Bullying
 shit talkin bitch,Bullying
Well damn  that means you working wit something!  Lol..,Bullying
DAMN! I'll wait a month before I send mine for a critique! LOL,Bullying
I hate games like this. All these people shouldn't be going down.,Bullying
#NAME?,Bullying
that karma is a bitch  HUH,Bullying
thats why I hate megavideo.  I'll see if I can get someone to update the episodes with an offshore video hoster.,Bullying
"read that this morning. my fav is how they just straight up say ""cum shots""",Bullying
Are you out celebrating your birthday? If so  a birthday drink is ok! But don't forget the marathon. I hate being such a stickler.,Bullying
ew u slut get on skype &lt;333333,Bullying
I hate FCC they are evil,Bullying
i loved it  i laughed my ass off,Bullying
No....Always been happy....never quite gay...,Bullying
i hate your face sounds EXACTLY like something i would say.also reminds me of a drunk girl trying to fight me and,Bullying
yeah  most people just think i'm a bitch cuz i got that screwy sarcastic sense of humor that tends to tick people off? my username?,Bullying
 That's a very interesting point and one I hadn't heard before. Copper for elec motors? Damn  I love twitter.,Bullying
I hate to harsh your buzz  but every game on the iPhone can roll the bones by shaking. Do not pass go  do not collect my $7.99,Bullying
dupa cum vezi  eu mai putin cu excelurile  mai mult cu povestile ;o],Bullying
 WHORE,Bullying
lawl @ fat bitchez.,Bullying
http://twitpic.com/t47m - Srsly  I hate it.,Bullying
if you can get me a signed copy of Jordan's book....we'll pull some qoutes during shows.  That guy kicks ass muchos muchos  wow,Bullying
that sucks balls!,Bullying
if you're going to have to spend that much for a fucking pizza  at least go to mellow mushroom or somewhere not disgusting.,Bullying
LMAO!! I seen that  that dude was mad angry... then got his ass beat,Bullying
YES!! she'll call me and be like get your ass out of bed and then she'll name a list of bs for me to do,Bullying
Sounds more reasonable. I hate having to buy 8+ presents for my very small family alone. Soulless Myer gift cards FTW,Bullying
usually  if I am at the point where I'm ready to say something mean  I will click away. I hate mean people.  hate them.,Bullying
Yes but if your senses are dulled mebbe you no bitch so much? Or you should find a good human who's blood you wanna eat,Bullying
i got ur ticks  but yo ass ain't gonna come! lol,Bullying
bahahaha i love you. and ugh i wish i was on my way to va with @heyheatherr fuck the weatherr.,Bullying
Fuck yeah. I noticed that too.,Bullying
suck my cock  bitch. i am allowed to be scared of whatever i want. *z snap*,Bullying
VTU  SUCKS &gt;.&lt;,Bullying
 Damn woman you don't know your own strength.  LOL,Bullying
P33T WIFF HIS BIG GAY TEEFS!!! BRYCE FROM TRS AND HIM SHOULD HAVE BABIES AND THEY'D HAVE AMASING TEEFS,Bullying
awz cum ova,Bullying
Then you should make fun of her for not looking at your ass.,Bullying
Retard. Section E is?,Bullying
Lol why do you do this?! I hate your guts :-p,Bullying
wow! You're a real cunt!,Bullying
can't make up my mind. Go out w my girl vip style and leave the dog home alone till morn  stay in or go to a gay pj party,Bullying
fuck u asshole we aint even watchin the game shyt we slda goten closer so i cn c betr.how r those cheerleaders 4 ya,Bullying
In Ala-God-Damn-Bama  that would be Bidness Skool  right?,Bullying
 brittany is from MAYODAN abbie aint from ellisboro  either.dumbass....and the lst 2 aintchur girls they dont evn lik u.,Bullying
it means - the fat beauty and yes lost 43 kgs thru heavy dieting n working out at the gym 6 days a week - that was 3 yrs ago,Bullying
hola! Orli ... we are www.LuckyStartups.com looking to interview some kick ass peeps in Israel... you up to it?,Bullying
duh! fat fish and winning the lottery go hand in hand,Bullying
 ....you gone wind up fucking her (is that what u wanna do  shawty),Bullying
man i'm jealous of your day! i'm also hooked on twitter. damn arv. like i needed another procrastinating tool like this.,Bullying
I have both now. iPhone camera sucks as well as lack of other things  but email  twitter and apps are good. Big screen is nice.,Bullying
Sorry you bitch punched TEO.,Bullying
coincidence my ass... LOL... But it's a good suggestion so it'll go in the hat... Singapore would be interesting. 5 more...,Bullying
#NAME?,Bullying
LMAO! @ ur new pet...I thought u sent me a pic of a big ass butterfly...lol!,Bullying
DION WHAT THE FUCK YOU SAYIN? LOL.,Bullying
 You didn&;t get a brain that day either. They were only handing them out to people who would use them.,Bullying
You'd be television slut.,Bullying
yeah but zro rly is the eMo city don,Bullying
fuck yeah they do!,Bullying
depends on your plan. if you pay out the ass for it  no.,Bullying
Oh sad faces :( I hate it when that happens! Reading in bed usually helps me...,Bullying
fuck apparently i 4got that no homo part  guess i said that with a lot of homo,Bullying
u in a good mood souljaboy why u in a good mood oh n i luv ur new song 'damn ' like it hit   me bac,Bullying
sorry i missed you @ Cain but they weren't very nice to my gay boy - I think some1 was jealous...missu  hope to see ya soon ;),Bullying
damn. lol. let me try something else. hot lesbian sex. nekked girl on girl. free porn.,Bullying
"ugh  yes. I am a consumer whore... ""and how!""",Bullying
damn your phone....SEVEn SEEEVEEEENNN,Bullying
fuck u and ur fucking break =/,Bullying
meeting friend for lunch/coffee. Getting hair cut (although I hate that bit) and my works do in the evening!,Bullying
"YOU""RE A GAY!? .... =) I &lt;3 you",Bullying
"""",Bullying
ass.,Bullying
jealousy makes me hate you now hahaha,Bullying
HOLY SHIT. Fuck that band.,Bullying
You fucking rock =),Bullying
social network whore!,Bullying
http://tinyurl.com/6dunlq  hate me for it later  but it's not bad,Bullying
Would you believe the same article said eating less helps us live longer  too? Damn those scientists!,Bullying
http://tinyurl.com/6dunlq  hate me for it later  but it's not bad,Bullying
it is. Hate that LOL,Bullying
i'd love to visit (or live) in san diego cause of yr round warm weather. i hate cold so bad. crowds n traf would b my probs there,Bullying
yeah  fucking predictive text,Bullying
bitch you wanna go? Ill kick your ass,Bullying
 I couldn't agree more.  And if I didn't feel like such a loser I would say I win for understanding!,Bullying
OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;),Bullying
fuck off!!!,Bullying
U can be a freak and not like girls.,Bullying
what is this dick suck moment? lol. HAPPY NEW YEAR,Bullying
there only a few shows i really look forward to seeing.  i hate when they put a reality show on instead with no warning.,Bullying
"evilbeet  do u not feel that when u watch jon & kate plus 8 its fucking ""in ur face"" and purely advertisements?",Bullying
too right XD Gordon Brown can officially kiss my ass! Freak!,Bullying
VTU  SUCKS &gt;.&lt;,Bullying
 Ugly piece of shit,Bullying
hmm so thats suk your soul hate and reinvent you to get my dry cleaning hate?,Bullying
haha i don't really like walmart that much either. hmm yeah that sucks :( hope you find one,Bullying
"i really hate that song but thats like equivalent to ""fuck them other niggas"" to the 40 and up crowd",Bullying
