DailyRate,EmployeeCount,EmployeeNumber,Age,Gender,Education,EducationField,JobRole,Department,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,BusinessTravel,DistanceFromHome,OverTime,MaritalStatus,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,Attrition
1102,1,1,,Female,2,Life Sciences,Sales Executive,Sales,2,3,4,3,1,1,,1,Yes,Single,5993,6,4,0,Yes
,1,2,,Male,1,Life Sciences,Research Scientist,Research & Development,3,2,2,4,4,3,Travel_Frequently,8,No,Married,5130,10,7,1,No
1373,1,4,,Male,2,Other,Laboratory Technician,Research & Development,4,2,3,3,2,3,,2,Yes,Single,2090,0,0,0,Yes
1392,1,5,,Female,4,Life Sciences,Research Scientist,Research & Development,4,3,3,3,3,3,Travel_Frequently,3,Yes,Married,2909,8,7,3,No
591,1,7,27,Male,1,Medical,Laboratory Technician,Research & Development,1,3,2,3,4,3,,2,No,Married,3468,2,2,2,No
1005,1,8,32,Male,2,Life Sciences,Laboratory Technician,Research & Development,4,3,4,3,3,2,Travel_Frequently,2,No,Single,3068,7,7,3,No
1324,1,10,59,Female,3,Medical,Laboratory Technician,Research & Development,3,4,1,4,1,2,Travel_Rarely,3,Yes,Married,2670,1,0,0,No
,1,11,30,Male,1,Life Sciences,Laboratory Technician,Research & Development,4,3,3,4,2,3,Travel_Rarely,24,No,Divorced,2693,1,0,0,No
,1,12,38,Male,3,Life Sciences,Manufacturing Director,Research & Development,4,2,3,4,2,3,Travel_Frequently,23,No,Single,9526,9,7,1,No
,1,13,36,Male,3,Medical,Healthcare Representative,Research & Development,3,3,3,3,2,2,Travel_Rarely,27,No,Married,5237,7,7,7,No
,1,14,35,Male,3,Medical,Laboratory Technician,Research & Development,1,4,2,3,3,3,Travel_Rarely,16,No,Married,2426,5,4,0,No
,1,15,29,Female,2,Life Sciences,Laboratory Technician,Research & Development,4,2,3,3,4,3,Travel_Rarely,15,Yes,Single,4193,9,5,0,No
,1,16,31,Male,1,Life Sciences,Research Scientist,Research & Development,1,3,3,3,4,2,Travel_Rarely,26,No,Divorced,2911,5,2,4,No
1346,1,18,34,Male,2,Medical,Laboratory Technician,Research & Development,2,3,4,3,3,3,Travel_Rarely,19,No,Divorced,2661,2,2,1,No
103,1,19,28,Male,3,Life Sciences,Laboratory Technician,Research & Development,3,2,3,3,2,3,Travel_Rarely,24,Yes,Single,2028,4,2,0,Yes
1389,1,20,29,Female,4,Life Sciences,Manufacturing Director,Research & Development,2,4,1,3,3,3,Travel_Rarely,21,No,Divorced,9980,10,9,8,No
334,1,21,32,Male,2,Life Sciences,Research Scientist,Research & Development,1,4,2,3,4,2,Travel_Rarely,5,Yes,Divorced,3298,6,2,0,No
1123,1,22,22,Male,2,Medical,Laboratory Technician,Research & Development,4,4,4,3,2,2,Non-Travel,16,Yes,Divorced,2935,1,0,0,No
1219,1,23,53,Female,4,Life Sciences,Manager,Sales,1,2,4,3,3,3,Travel_Rarely,2,No,Married,15427,25,8,3,No
371,1,24,38,Male,3,Life Sciences,Research Scientist,Research & Development,4,3,4,3,3,3,Travel_Rarely,2,Yes,Single,3944,3,2,1,No
673,1,26,24,Female,2,Other,Manufacturing Director,Research & Development,1,4,3,3,4,2,Non-Travel,11,No,Divorced,4011,4,2,1,No
1218,1,27,36,Male,4,Life Sciences,Sales Representative,Sales,3,2,1,4,2,3,,9,No,Single,3407,5,3,0,Yes
,1,28,34,Female,4,Life Sciences,Research Director,Research & Development,1,3,2,3,3,3,Travel_Rarely,7,No,Single,11994,12,6,2,No
,1,30,21,Male,2,Life Sciences,Research Scientist,Research & Development,3,3,4,3,4,3,,15,No,Single,1232,0,0,0,No
,1,31,34,Male,1,Medical,Research Scientist,Research & Development,2,3,1,3,3,3,Travel_Rarely,6,No,Single,2960,4,2,1,Yes
,1,32,53,Female,3,Other,Manager,Research & Development,3,3,3,3,4,2,Travel_Rarely,5,No,Divorced,19094,14,13,4,No
1125,1,33,32,Female,1,Life Sciences,Research Scientist,Research & Development,2,1,1,4,2,3,Travel_Frequently,16,Yes,Single,3919,10,2,6,Yes
691,1,35,42,Male,4,Marketing,Sales Executive,Sales,3,3,2,3,4,3,Travel_Rarely,8,No,Married,6825,9,7,4,No
477,1,36,44,Female,4,Medical,Healthcare Representative,Research & Development,1,2,4,3,4,3,Travel_Rarely,7,No,Married,10248,22,6,5,No
705,1,38,46,Female,4,Marketing,Manager,Sales,2,3,1,3,4,2,Travel_Rarely,2,No,Single,18947,2,2,2,No
924,1,39,33,Male,3,Medical,Laboratory Technician,Research & Development,3,3,4,3,4,3,Travel_Rarely,2,No,Single,2496,1,1,0,No
1459,1,40,44,Male,4,Other,Healthcare Representative,Research & Development,4,3,4,3,4,4,Travel_Rarely,10,Yes,Married,6465,4,2,1,No
125,1,41,30,Male,2,Medical,Laboratory Technician,Research & Development,4,2,3,3,1,3,Travel_Rarely,9,No,Single,2206,10,0,1,No
895,1,42,39,Male,3,Technical Degree,Sales Representative,Sales,4,3,4,3,3,4,Travel_Rarely,5,No,Married,2086,1,0,0,Yes
813,1,45,24,Male,3,Medical,Research Scientist,Research & Development,2,3,4,3,1,2,Travel_Rarely,1,Yes,Married,2293,2,0,2,Yes
1273,1,46,43,Female,2,Medical,Research Scientist,Research & Development,4,4,3,3,4,2,Travel_Rarely,2,No,Divorced,2645,5,3,1,No
869,1,47,50,Male,2,Marketing,Sales Representative,Sales,1,2,3,3,3,3,Travel_Rarely,3,Yes,Married,2683,3,2,0,Yes
890,1,49,35,Female,3,Marketing,Sales Representative,Sales,4,3,4,3,1,3,Travel_Rarely,2,No,Married,2014,2,2,2,No
852,1,51,36,Female,4,Life Sciences,Research Scientist,Research & Development,2,2,1,3,4,4,Travel_Rarely,5,Yes,Married,3419,1,1,0,No
1141,1,52,33,Female,3,Life Sciences,Sales Executive,Sales,3,4,1,3,1,3,Travel_Frequently,1,No,Married,5376,5,3,1,No
464,1,53,35,Male,2,Other,Laboratory Technician,Research & Development,3,3,4,3,3,3,Travel_Rarely,4,No,Divorced,1951,1,0,0,No
1240,1,54,27,Female,4,Life Sciences,Laboratory Technician,Research & Development,4,3,1,3,4,3,Travel_Rarely,2,No,Divorced,2341,1,0,0,No
1357,1,55,26,Male,3,Life Sciences,Laboratory Technician,Research & Development,1,1,3,3,3,2,Travel_Rarely,25,No,Single,2293,1,0,0,Yes
994,1,56,27,Male,3,Life Sciences,Sales Executive,Sales,4,3,3,3,4,3,Travel_Frequently,8,No,Single,8726,9,8,1,No
721,1,57,30,Female,2,Medical,Laboratory Technician,Research & Development,3,3,4,4,4,3,Travel_Frequently,1,No,Single,4011,12,8,3,No
1360,1,58,41,Female,3,Technical Degree,Research Director,Research & Development,2,3,3,3,4,3,Travel_Rarely,12,No,Married,19545,22,15,15,Yes
1065,1,60,34,Male,4,Marketing,Sales Executive,Sales,2,3,3,4,3,3,Non-Travel,23,No,Single,4568,9,5,8,No
408,1,61,37,Male,2,Life Sciences,Research Scientist,Research & Development,2,3,2,4,1,3,Travel_Rarely,19,No,Married,3022,1,0,0,No
1211,1,62,46,Male,4,Marketing,Sales Executive,Sales,1,3,4,4,3,3,Travel_Frequently,5,Yes,Single,5772,9,6,0,No
1229,1,63,35,Male,1,Life Sciences,Laboratory Technician,Research & Development,4,4,4,3,4,3,Travel_Rarely,8,No,Married,2269,1,0,0,No
626,1,64,48,Male,2,Life Sciences,Laboratory Technician,Research & Development,1,2,3,3,4,3,Travel_Rarely,1,Yes,Single,5381,1,0,0,Yes
1434,1,65,28,Male,4,Technical Degree,Laboratory Technician,Research & Development,3,3,3,3,3,2,Travel_Rarely,5,Yes,Single,3441,2,2,2,Yes
1488,1,68,44,Female,5,Marketing,Sales Executive,Sales,2,3,1,4,3,2,Travel_Rarely,1,Yes,Divorced,5454,4,3,1,No
1097,1,70,35,Male,2,Medical,Healthcare Representative,Research & Development,3,2,1,3,3,3,Non-Travel,11,Yes,Married,9884,4,0,2,No
1443,1,72,26,Female,3,Marketing,Sales Executive,Sales,3,2,4,3,3,2,Travel_Rarely,23,Yes,Married,4157,2,2,0,No
515,1,73,33,Female,2,Life Sciences,Research Director,Research & Development,1,3,4,3,3,3,Travel_Frequently,1,Yes,Single,13458,15,14,8,No
853,1,74,35,Male,5,Life Sciences,Sales Executive,Sales,2,3,1,4,4,2,Travel_Frequently,18,No,Married,9069,9,8,1,No
1142,1,75,35,Female,4,Medical,Laboratory Technician,Research & Development,3,3,1,3,3,3,Travel_Rarely,23,Yes,Married,4014,2,2,2,No
655,1,76,31,Male,4,Life Sciences,Laboratory Technician,Research & Development,4,3,4,4,4,2,Travel_Rarely,7,No,Divorced,5915,7,7,1,No
1115,1,77,37,Male,4,Life Sciences,Manufacturing Director,Research & Development,1,2,3,3,3,4,Travel_Rarely,1,No,Divorced,5993,7,5,0,No
427,1,78,32,Male,3,Medical,Manufacturing Director,Research & Development,1,3,4,4,2,3,Travel_Rarely,1,Yes,Married,6162,9,8,7,No
653,1,79,38,Female,5,Life Sciences,Laboratory Technician,Research & Development,4,3,4,3,4,3,Travel_Frequently,29,No,Single,2406,10,3,9,No
989,1,80,50,Female,2,Medical,Research Director,Research & Development,2,2,3,3,4,2,Travel_Rarely,7,Yes,Divorced,18740,27,3,13,No
1435,1,81,59,Female,3,Life Sciences,Sales Executive,Sales,1,3,1,3,4,2,Travel_Rarely,25,No,Single,7637,21,16,7,No
1223,1,83,36,Female,3,Technical Degree,Healthcare Representative,Research & Development,3,3,3,3,2,3,Travel_Rarely,8,No,Divorced,10096,17,14,12,No
836,1,84,55,Female,3,Medical,Manager,Research & Development,4,3,3,3,3,3,Travel_Rarely,8,Yes,Divorced,14756,5,0,0,No
1195,1,85,36,Male,3,Life Sciences,Manufacturing Director,Research & Development,2,2,2,3,3,3,Travel_Frequently,11,No,Single,6499,6,5,0,No
1339,1,86,45,Male,3,Life Sciences,Research Scientist,Research & Development,2,3,1,3,3,3,Travel_Rarely,7,No,Divorced,9724,1,0,0,No
664,1,88,35,Male,3,Medical,Research Scientist,Research & Development,2,3,1,3,4,2,Travel_Frequently,1,No,Married,2194,3,2,1,No
318,1,90,36,Male,3,Medical,Research Scientist,Research & Development,4,2,3,3,1,2,Travel_Rarely,9,Yes,Married,3388,1,0,0,Yes
1225,1,91,59,Female,1,Life Sciences,Sales Executive,Sales,1,2,3,3,4,2,Travel_Frequently,1,No,Single,5473,4,3,1,No
1328,1,94,29,Male,3,Life Sciences,Research Scientist,Research & Development,3,3,2,4,4,3,Travel_Rarely,2,No,Married,2703,5,4,0,No
1082,1,95,31,Male,4,Medical,Research Scientist,Research & Development,3,3,2,3,2,3,Travel_Rarely,1,No,Single,2501,1,1,1,No
548,1,96,32,Male,3,Life Sciences,Research Scientist,Research & Development,2,3,2,3,2,3,Travel_Rarely,1,No,Married,6220,10,4,0,No
132,1,97,36,Female,3,Life Sciences,Laboratory Technician,Research & Development,2,4,4,3,2,3,Travel_Rarely,6,No,Married,3038,1,0,0,No
746,1,98,31,Female,4,Life Sciences,Manufacturing Director,Research & Development,3,3,4,4,4,3,Travel_Rarely,8,No,Single,4424,11,7,1,No
776,1,100,35,Male,4,Marketing,Sales Executive,Sales,3,2,1,3,2,3,Travel_Rarely,1,No,Single,4312,15,13,2,No
193,1,101,45,Male,4,Other,Research Director,Research & Development,4,3,1,3,2,4,Travel_Rarely,6,Yes,Married,13245,0,0,0,No
397,1,102,37,Male,4,Medical,Research Director,Research & Development,1,3,3,3,1,4,Travel_Rarely,7,No,Single,13664,5,2,0,No
945,1,103,46,Male,2,Medical,Human Resources,Human Resources,2,3,2,4,4,3,Travel_Rarely,5,Yes,Divorced,5021,4,2,0,No
852,1,104,30,Male,1,Life Sciences,Laboratory Technician,Research & Development,4,2,4,3,3,2,Travel_Rarely,1,Yes,Married,5126,10,8,3,No
1214,1,105,35,Male,3,Medical,Research Scientist,Research & Development,2,2,3,3,1,3,Travel_Rarely,1,No,Single,2859,6,4,0,No
111,1,106,55,Male,2,Life Sciences,Sales Executive,Sales,1,3,4,3,4,3,Travel_Rarely,1,No,Married,10239,1,0,1,No
573,1,107,38,Female,3,Medical,Research Scientist,Research & Development,2,1,4,3,4,3,Non-Travel,6,Yes,Divorced,5329,13,11,1,No
1153,1,110,34,Male,2,Medical,Manufacturing Director,Research & Development,1,3,2,3,3,3,Travel_Rarely,1,No,Married,4325,5,2,1,No
1400,1,112,56,Male,3,Life Sciences,Manufacturing Director,Research & Development,4,1,4,3,1,2,Travel_Rarely,7,No,Single,7260,6,4,0,No
541,1,113,23,Male,1,Technical Degree,Sales Representative,Sales,3,3,1,3,3,3,Travel_Rarely,2,No,Divorced,2322,0,0,0,No
432,1,116,51,Male,4,Life Sciences,Laboratory Technician,Research & Development,4,3,4,4,2,3,Travel_Rarely,9,No,Married,2075,4,2,0,No
288,1,117,30,Male,3,Life Sciences,Healthcare Representative,Research & Development,3,2,4,3,1,3,Travel_Rarely,2,No,Married,4152,11,10,10,No
669,1,118,46,Male,2,Medical,Sales Executive,Sales,3,2,4,3,4,3,Travel_Rarely,9,No,Single,9619,9,8,4,Yes
530,1,119,40,Male,4,Life Sciences,Healthcare Representative,Research & Development,3,2,2,4,4,2,Travel_Frequently,1,No,Married,13503,22,3,11,No
632,1,120,51,Male,4,Marketing,Sales Executive,Sales,3,3,4,4,4,1,Travel_Rarely,21,Yes,Single,5441,10,7,1,No
1334,1,121,30,Female,2,Medical,Sales Executive,Sales,3,2,2,3,2,2,Travel_Rarely,4,Yes,Divorced,5209,11,8,2,No
638,1,124,46,Male,3,Medical,Healthcare Representative,Research & Development,3,2,1,3,3,2,Travel_Frequently,1,Yes,Married,10673,10,9,9,No
1093,1,125,32,Male,4,Medical,Sales Executive,Sales,2,3,3,3,1,3,Travel_Rarely,6,No,Single,5010,11,8,5,No
1217,1,126,54,Female,4,Technical Degree,Research Director,Research & Development,1,3,3,3,1,1,Travel_Rarely,2,No,Married,13549,4,3,0,No
1353,1,128,24,Female,2,Other,Sales Executive,Sales,1,3,3,4,1,2,Travel_Rarely,3,No,Married,4999,3,2,0,No
120,1,129,28,Male,3,Medical,Sales Executive,Sales,2,3,3,3,2,4,Non-Travel,4,No,Married,4221,5,4,0,No
682,1,131,58,Male,4,Medical,Sales Executive,Sales,4,3,3,3,3,2,Travel_Rarely,10,No,Single,13872,37,10,1,No
489,1,132,44,Male,3,Medical,Laboratory Technician,Research & Development,2,3,2,3,3,4,Non-Travel,23,No,Married,2042,3,2,1,No
807,1,133,37,Male,4,Human Resources,Human Resources,Human Resources,3,3,1,4,4,3,Travel_Rarely,6,Yes,Divorced,2073,3,2,0,Yes
827,1,134,32,Male,1,Life Sciences,Research Scientist,Research & Development,4,3,1,3,4,3,Travel_Rarely,1,No,Single,2956,1,0,0,No
871,1,137,20,Female,3,Life Sciences,Laboratory Technician,Research & Development,4,2,4,3,2,3,Travel_Frequently,6,Yes,Single,2926,1,0,1,Yes
665,1,138,34,Female,4,Other,Research Scientist,Research & Development,1,3,3,3,3,3,Travel_Rarely,6,No,Single,4809,16,13,2,No
1040,1,139,37,Male,2,Life Sciences,Healthcare Representative,Research & Development,3,2,4,3,4,4,Non-Travel,2,No,Divorced,5163,1,0,0,No
1420,1,140,59,Female,4,Human Resources,Manager,Human Resources,3,2,4,4,4,3,Non-Travel,2,No,Married,18844,3,2,2,No
1115,1,141,50,Female,3,Life Sciences,Research Director,Research & Development,1,3,2,3,1,2,Travel_Frequently,1,Yes,Married,18172,8,3,0,No
240,1,142,25,Male,3,Marketing,Sales Executive,Sales,3,2,3,3,4,3,Travel_Rarely,5,Yes,Single,5744,6,4,0,Yes
1280,1,143,25,Male,1,Medical,Research Scientist,Research & Development,4,2,4,3,3,3,Travel_Rarely,7,No,Married,2889,2,2,2,No
534,1,144,22,Female,3,Medical,Laboratory Technician,Research & Development,2,3,4,3,3,3,Travel_Rarely,15,No,Single,2871,0,0,0,No
1456,1,145,51,Female,4,Medical,Healthcare Representative,Research & Development,1,2,1,4,3,2,Travel_Frequently,1,No,Single,7484,13,12,12,No
658,1,147,34,Male,3,Life Sciences,Laboratory Technician,Research & Development,1,1,3,4,4,3,Travel_Frequently,7,Yes,Single,6074,9,7,0,Yes
142,1,148,54,Female,3,Human Resources,Manager,Human Resources,4,4,4,3,3,3,Non-Travel,26,Yes,Single,17328,5,3,4,No
1127,1,150,24,Male,1,Life Sciences,Laboratory Technician,Research & Development,2,3,3,3,3,3,Travel_Rarely,18,No,Married,2774,5,3,1,No
