horsepower,weight,acceleration,cylinders,displacement,model_year,car_name,mpg
130,3504,12,8,307,70,chevrolet chevelle malibu,18
165,3693,11.5,8,350,70,buick skylark 320,15
150,3436,11,8,318,70,plymouth satellite,18
150,3433,12,8,304,70,amc rebel sst,16
140,3449,10.5,8,302,70,ford torino,17
198,4341,10,8,429,70,ford galaxie 500,15
220,4354,9,8,454,70,chevrolet impala,14
215,4312,8.5,8,440,70,plymouth fury iii,14
225,4425,10,8,455,70,pontiac catalina,14
190,3850,8.5,8,390,70,amc ambassador dpl,15
170,3563,10,8,383,70,dodge challenger se,15
160,3609,8,8,340,70,plymouth 'cuda 340,14
150,3761,9.5,8,400,70,chevrolet monte carlo,15
225,3086,10,8,455,70,buick estate wagon (sw),14
95,2372,15,4,113,70,toyota corona mark ii,24
95,2833,15.5,6,198,70,plymouth duster,22
97,2774,15.5,6,199,70,amc hornet,18
85,2587,16,6,200,70,ford maverick,21
88,2130,14.5,4,97,70,datsun pl510,27
46,1835,20.5,4,97,70,volkswagen 1131 deluxe sedan,26
87,2672,17.5,4,110,70,peugeot 504,25
90,2430,14.5,4,107,70,audi 100 ls,24
95,2375,17.5,4,104,70,saab 99e,25
113,2234,12.5,4,121,70,bmw 2002,26
90,2648,15,6,199,70,amc gremlin,21
215,4615,14,8,360,70,ford f250,10
200,4376,15,8,307,70,chevy c20,10
210,4382,13.5,8,318,70,dodge d200,11
193,4732,18.5,8,304,70,hi 1200d,9
88,2130,14.5,4,97,71,datsun pl510,27
90,2264,15.5,4,140,71,chevrolet vega 2300,28
95,2228,14,4,113,71,toyota corona,25
,2046,19,4,98,71,ford pinto,25
100,2634,13,6,232,71,amc gremlin,19
105,3439,15.5,6,225,71,plymouth satellite custom,16
100,3329,15.5,6,250,71,chevrolet chevelle malibu,17
88,3302,15.5,6,250,71,ford torino 500,19
100,3288,15.5,6,232,71,amc matador,18
165,4209,12,8,350,71,chevrolet impala,14
175,4464,11.5,8,400,71,pontiac catalina brougham,14
153,4154,13.5,8,351,71,ford galaxie 500,14
150,4096,13,8,318,71,plymouth fury iii,14
180,4955,11.5,8,383,71,dodge monaco (sw),12
170,4746,12,8,400,71,ford country squire (sw),13
175,5140,12,8,400,71,pontiac safari (sw),13
110,2962,13.5,6,258,71,amc hornet sportabout (sw),18
72,2408,19,4,140,71,chevrolet vega (sw),22
100,3282,15,6,250,71,pontiac firebird,19
88,3139,14.5,6,250,71,ford mustang,18
86,2220,14,4,122,71,mercury capri 2000,23
90,2123,14,4,116,71,opel 1900,28
70,2074,19.5,4,79,71,peugeot 304,30
76,2065,14.5,4,88,71,fiat 124b,30
65,1773,19,4,71,71,toyota corolla 1200,31
69,1613,18,4,72,71,datsun 1200,35
60,1834,19,4,97,71,volkswagen model 111,27
70,1955,20.5,4,91,71,plymouth cricket,26
95,2278,15.5,4,113,72,toyota corona hardtop,24
80,2126,17,4,97.5,72,dodge colt hardtop,25
54,2254,23.5,4,97,72,volkswagen type 3,23
90,2408,19.5,4,140,72,chevrolet vega,20
86,2226,16.5,4,122,72,ford pinto runabout,21
165,4274,12,8,350,72,chevrolet impala,13
175,4385,12,8,400,72,pontiac catalina,14
150,4135,13.5,8,318,72,plymouth fury iii,15
153,4129,13,8,351,72,ford galaxie 500,14
150,3672,11.5,8,304,72,amc ambassador sst,17
208,4633,11,8,429,72,mercury marquis,11
155,4502,13.5,8,350,72,buick lesabre custom,13
160,4456,13.5,8,350,72,oldsmobile delta 88 royale,12
190,4422,12.5,8,400,72,chrysler newport royal,13
97,2330,13.5,3,70,72,mazda rx2 coupe,19
150,3892,12.5,8,304,72,amc matador (sw),15
130,4098,14,8,307,72,chevrolet chevelle concours (sw),13
140,4294,16,8,302,72,ford gran torino (sw),13
150,4077,14,8,318,72,plymouth satellite custom (sw),14
112,2933,14.5,4,121,72,volvo 145e (sw),18
76,2511,18,4,121,72,volkswagen 411 (sw),22
