sex,age,who,adult_male,class,alive,alone,sibsp,parch,fare,deck,embark_town,survived?
male,22.0,man,True,Third,no,False,1,0,7.25,,Southampton,NO
female,38.0,woman,False,First,yes,False,1,0,71.2833,C,Cherbourg,YES
female,26.0,woman,False,Third,yes,True,0,0,7.925,,Southampton,YES
female,35.0,woman,False,First,yes,False,1,0,53.1,C,Southampton,YES
male,35.0,man,True,Third,no,True,0,0,8.05,,Southampton,NO
male,,man,True,Third,no,True,0,0,8.4583,,Queenstown,NO
male,54.0,man,True,First,no,True,0,0,51.8625,E,Southampton,NO
male,2.0,child,False,Third,no,False,3,1,21.075,,Southampton,NO
female,27.0,woman,False,Third,yes,False,0,2,11.1333,,Southampton,YES
female,14.0,child,False,Second,yes,False,1,0,30.0708,,Cherbourg,YES
female,4.0,child,False,Third,yes,False,1,1,16.7,G,Southampton,YES
female,58.0,woman,False,First,yes,True,0,0,26.55,C,Southampton,YES
male,20.0,man,True,Third,no,True,0,0,8.05,,Southampton,NO
male,39.0,man,True,Third,no,False,1,5,31.275,,Southampton,NO
female,14.0,child,False,Third,no,True,0,0,7.8542,,Southampton,NO
female,55.0,woman,False,Second,yes,True,0,0,16.0,,Southampton,YES
male,2.0,child,False,Third,no,False,4,1,29.125,,Queenstown,NO
male,,man,True,Second,yes,True,0,0,13.0,,Southampton,YES
female,31.0,woman,False,Third,no,False,1,0,18.0,,Southampton,NO
female,,woman,False,Third,yes,True,0,0,7.225,,Cherbourg,YES
male,35.0,man,True,Second,no,True,0,0,26.0,,Southampton,NO
male,34.0,man,True,Second,yes,True,0,0,13.0,D,Southampton,YES
female,15.0,child,False,Third,yes,True,0,0,8.0292,,Queenstown,YES
male,28.0,man,True,First,yes,True,0,0,35.5,A,Southampton,YES
female,8.0,child,False,Third,no,False,3,1,21.075,,Southampton,NO
female,38.0,woman,False,Third,yes,False,1,5,31.3875,,Southampton,YES
male,,man,True,Third,no,True,0,0,7.225,,Cherbourg,NO
male,19.0,man,True,First,no,False,3,2,263.0,C,Southampton,NO
female,,woman,False,Third,yes,True,0,0,7.8792,,Queenstown,YES
male,,man,True,Third,no,True,0,0,7.8958,,Southampton,NO
male,40.0,man,True,First,no,True,0,0,27.7208,,Cherbourg,NO
female,,woman,False,First,yes,False,1,0,146.5208,B,Cherbourg,YES
female,,woman,False,Third,yes,True,0,0,7.75,,Queenstown,YES
male,66.0,man,True,Second,no,True,0,0,10.5,,Southampton,NO
