tweet,class
"so i was diagnosed with anxiety and depression by a psychiatrist but somehow my mom still insists that im not actually mentally ill and im just faking all my symptoms to avoid responsibilities because i ""lack discipline""- wha",depression
"tw // depression , anxiety  - - - - - - -  I was diagnosed with depression in 6th grade. I had been home from school for over 2 years and I was struggling with obsessive thoughts and then my aunt passed away. She was the only one I had. And I was in a really dark place.",depression
My doctor after I was diagnosed with depression and anxiety:,depression
I've spent the day distraught. The diagnosis makes sense - yes. I might finally get suitable help after years of suffering - also true.... but I have BPD. When I was diagnosed with depression there was that little silver lining ‘oh people with depression can be so intelligent'(2),depression
When I was little my favorite Pooh Bear friend was Eeyore.... and my mom was surprised when I was diagnosed with depression?!???? Ma'am You should've seen the signs,depression
"I was diagnosed with depression in high school, then anxiety and PTSD in college. This really speaks to me.  https://t.co/VziOnUbBAY",depression
"I was diagnosed with depression and anxiety when I was 14 &amp; my parents did nothing to help lol my mom used to tell me “you're not depressed and anxiety isn't real, you're just hungry eat something” and then would tell me 20 minutes later I was eating too much and I'm getting fat",depression
@mrsgarseeuh So I used to! But then I was diagnosed with depression and learning that sometimes cleaning is overwhelming and so is getting out of bed and I changed my viewpoint because idk what ppl are going through,depression
"Early December 2020 I was diagnosed with depression &amp; that worried my mom so much, Nono started reading on it. Every morning she comes to my bedroom to check up on me &amp; have a little conversation. My favorite is when she starts reciting what she learned. ""iDepression ke...""🤣😂",depression
i didn't understand how people did not eat for the first time until like 1/2/3p. and then when i was diagnosed with depression... it all made sense,depression
"@arckaiine @sagilrr @JackRhynee @NoahHugbox When I was diagnosed with depression I was not diagnosed with a mental retardation, I was diagnosed with a mental illness. When I was diagnosed with ADD, I was diagnosed with a mental retardation not a mental illness. The two are not the same and are not in the same category",depression
@futuristic_glam Your environment has a huge impact on what you believe to be true about yourself. I was diagnosed w depression/anxiety/ptsd and then was told by someone there was nothing wrong with me all while I felt like my brain was being eaten alive by mental illness lmao,depression
She also did this when I was diagnosed with anxiety and depression and abt me being trans like. Fuck you I hope you d!3,depression
"Hi, so I'm probably going to leave Twitter for good. Recently I was diagnosed with depression and I just want to take time to find help and better myself. I've enjoyed all the memories so thank you for everything. I love you all  -nashi",depression
"vod knows what will happen if i comeout my mom literally said that if she had a gay kid she would spank them until they became ""normal"" and when i was diagnosed with depression both her and my dad only talked to me to say how they felt like they failed and how guilty they felt +",depression
"Tw//mental illnesses  How do you start telling someone about your illness? Do you just go ""yeah so I was diagnosed w depression, anxiety, and bit of ocd""?",depression
@Fact I always over think things and I was diagnosed with clinical depression after trying to commit suicide I'm no longer depressed but I still over think to the point of a migraine,depression
"In a world where I was diagnosed with depression and suffered from intrusive thoughts daily, interactions and having fun were the highlights of my days.   But not everything could last forever, and this was no exception.   /c",depression
"I do remember tho no one noticed it, how I had to suck it up and use all my energies to regain that little control I could get back.  I was diagnosed with depression/social anxiety only one year later. I'm still not over it. The road is long. But I'm still here. Alive.",depression
"@iademetria hi d, i was diagnosed with depression and anxiety when i was a kid. you already existed in my life and i don't really remember when you didn't. if i'm here today it is because of you. thank you for your love and support. your strength inspires me. i love you more than anything 💗",depression
"January 16, 2009: I ingested a bottle of pills. I thought my life was worthless. I wanted to die. I was diagnosed with clinical depression. I got better. I made it.  Today, I forgive myself.   You can get better too, reach out. You are loved   https://t.co/820cWGhjmm  @BraveWrite",depression
@vale8art @CathyS01889225 I was diagnosed with depression and severe anxiety of almost 5 years ago and I don't feel the need to get on a plane and go to a more tropical area.   I think about my friends who work in healthcare and what a s*** show it is for them. I don't want to make their lives harder.,depression
@iamshametral Awww I'm so sorry. I can relate.. I'm very passionate about mental health awareness and treatment. I was diagnosed with anxiety and depression. Be kind to yourself. Do what you gotta do that helps you feel better. And know that you're not alone! ❤️❤️❤️❤️,depression
~8 years ago I was diagnosed with depression and I made a joke out of it,depression
"Many of you won't know this, but I was diagnosed with depression and anxiety last year. I've found it very hard to cope. I'm getting better now (so please don't worry about me LOL - I'm too awkward for that) and it's largely because I have such wonderful people around me 💕",depression
Forgot to mention this cause yesterday was so exhausting but i was diagnosed with depression and no one told me. 10 years ago!!! At least according to the woman from pip interviewing me,depression
"@prettygirl_megs I know girl, I was diagnosed with depression while I was pregnant, even had to get on antidepressants which made me so sick. Hang in there love it will be okay ❤️ you got this mama",depression
not a question but i was diagnosed with depression and anxiety but i'm getting so much better now!! are you proud of me 🥺 tell me you are :(  #AskMewSuppasit,depression
@_antfrost i was diagnosed w depression/anxiety last year,depression
@GoodDoctorABC i don't have ptsd but i was diagnosed w depression and i know it's hard but we have to keep on fighting Dr. Lim! we're here for you. You're not alone :) sending you big and warm hugs♥️,depression
i was diagnosed w depression and anxiety back in october,depression
@blkgirllostkeys i felt the same thing when i was diagnosed w depression and anxiety as an adult. we knew i had adhd since i was 9 but somehow no one thought my severe anxiety should be looked at... relief and regret,depression
i will not ever forget when the army recruiters came to my high school and when i tried to chase them off by telling them i was diagnosed with depression and on anti depressants this mf really said “just don't tell the army you're on them!”,depression
"@rsthehenkle Of course!  My heart pumpkin: birthday in October, favorite season is fall, and favorite holiday (tied with Christmas) is Halloween!  Tree on my back: reminder of all I've been through. I was diagnosed with depression and PTSD in 2014, so I like to remember what I overcame. 🙂",depression
"Just remembered that for summer 2020 I had planned to stay in La Côte d'Azur with daddy, but instead I was diagnosed with depression (again) and was trapped in my room 24/7. My darkest hour.",depression
@_ilanabanana I was diagnosed with anxiety and depression which came in bouts. After several years on anti depressants I finally got a diagnosis of ADHD after pushing for it. Now I can deal with the problems it causes. Some psychology “experts” are not exactly great 🙄,depression
"@shiraisinspired Like I was diagnosed with depression *in kindergarten* mostly based on my *parents* reporting symptoms and half of them basically being making up misinterpretations of my behavior.   I have a family history of bipolar and they praise me for hypomania acting like it's ""recovery""",depression
"And I WAS diagnosed with Depression, Anxiety and ADHD when I was in the 2nd grade and I'm medicated (but I forget to take it:))",depression
It has been a year since i was diagnosed with depression and signs of panic attack disorder. Well im really thankful to my Dr. baroque. I still remember the first check up with him. Naiyak ako and i told him that i wanted to feel normal again. Doc thanks for everything.,depression
"@thekadenjersey Before I was diagnosed with depression, anxiety and severe ADHD, I was quite oblivious to mental health issues. Since then, I have gained a much deeper insight on how society views and deals with these issues. I have also come to realise how my words effect the way people interac",depression
"@hunklechu I was diagnosed with Depression and Anxiety &amp; what kills me is how ppl look at me like i've got mental issues.  I mean... yes i do, but it doesn't mean that i'll start picking nylon on the street.  What works for me is doing what i love most... Watching Anime.  I mean, just do u!",depression
@fr33z3b4by i was diagnosed with depression and anxiety in sixth grade but i really think i have more underlying issues:/ i wanna get rediagnosed but my mom is weird abt it,depression
"@nickidodah Actually I was diagnosed with depression over a year ago, which is why I find it offensive (&amp; pathetic) that a tantrum-stricken boy use such a serious illness to get some attention. But I dont expect u to understand something so simple if u've shown us u're as dumb as that boy 🤷🏻‍♀️",depression
"// cw // anxiety depression   when i was diagnosed with anxiety and depression i cried and my therapist told me to grow up, i was 12🤠",depression
I have been feeling lost and empty for so many years now and my anxiety is getting worse. Last year was very tough for everyone but even more so for me..   I was diagnosed with depression (no surprise here) and I'm taking meds right now.,depression
@McDanielWeissle There is help. Please take advantage of these offers to help. I was diagnosed with depression nearly 20 years ago - I would be lost without my antidepressant that I still take daily.  Hang in there. It does get better.,depression
@artyoonie__ it's like saying “oh my depression HAS to be known” like even i don't show it and i was diagnosed with depression just last year. it's horrible and people thinks it's funny.,depression
i was diagnosed with depression and anxiety for the second time today,depression
"I was diagnosed with depression, so I'm sorry for the absence, I'll come back soon. Behold!",depression
Thinking alot today about how the first time I ever talked to my parents about mental health I told them I was diagnosed with depression and they responded by cutting me off from health insurance.,depression
"@chelsofthewest First time I was diagnosed with depression when I was 18ish, I was on two for a time",depression
"@narchist161 I was diagnosed with depression at 16. At 20, I got my dog. I would be dead now without his fluffy little face. I'm sorry you can't have that kind of comfort.",depression
@yumcoconutmilk I also think that people get misdiagnosed with depression or anxiety when those are actually secondary to their main problem. I was diagnosed with depression for years and I've only recently learned that I actually have severe OCD (the pandemic has made it crystal clear),depression
 https://t.co/PDCmGx6UJg My dog baby bear is my best friend!! If he dies... a part of me will die too!! To be evem more transparent...Baby bear is my service dog. He's been with me since I was diagnosed with depression and anxiety at 12 years old back in 2013. We've been through-,depression
almost a year since i started taking antidepressants and almost two years since i was diagnosed with depression! i still hate myself,depression
"@SpectreInSpace Before I was diagnosed with autism &amp; dysphoria, I was diagnosed with depression (medicated). Had to quit uni. They couldn't figure out why I was depressed. I had to see specialists for years just to figure out what's wrong. Now, I'm much better knowing at least how I'm different.",depression
"@hells_bells2207 @matthaig1 You definitely won't be disappointed. He's one of my fave authors! I'm so glad you've got a diagnosis now. I was diagnosed with depression and anxiety when I was 30, I'm 43 now but like you, I had signs of it all my life.",depression
"@MetaCookbook Talk to doc about sleep.  There are non addictive meds. Your brain needs it.  Like I said. #1 offender.  I am up late all the time, but sleep until 9/10. Sometimes take a nap.  When I was diagnosed w depression I was sleeping 45 min a day.  Also after massive injury. I hear you",depression
"This happened to me, and I feel less alone now 😭 Before I was diagnosed with depression, an ex 'spirtualist' friend would watch me literally SOB- and say shit like ""Well, you haven't been meditating,"" or ""That food you eat is low vibrational, that's why."" Like WHAT?!😒",depression
@GoldenAppleAsh i was diagnosed with depression and anxiety but the fact that autism scored higher than depression may or may not mean something idk  https://t.co/3iHA66jp5u,depression
When she stole my identify to open a credit card she couldn't pay for. I was 6. At 10 I was diagnosed with clinical depression. Is there a link? The world may never know.,depression
Four years ago today I was diagnosed with depression and bipolar disorder. I still don't believe I'm bipolar because I don't experience the manic side of it. I need to get a second opinion.,depression
"@_Timo1 Thank you, it sucks, I was diagnosed with clinical depression 20 years ago when I tried to commit suicide",depression
@yy_writing Read and loved your #amm Any interest in #ownvoices severe depression memoir? Improbable story but true: husband w/ cancer 2 years after I was diagnosed w/ depression Invite readers on 7-yr journey Depression proved to be a life experience not a life sentence,depression
"@mltate24 Your  #AMM words resonated w/ me so *gulp* Any interest in #ownvoices memoir about severe depression? Two years before husband's cancer, I was diagnosed w/ depression  I invite readers on 7-year journey  Depression proved to be life experience not life sentence",depression
So...I was diagnosed with depression today.,depression
"@TanisaTalukder @donatadesignco That's scary... I was DIAGNOSED with depression at 10/11... think of all the kids out there who have attempted suicide, and she just... denies it?",depression
"Haven't smiled since June 18th, 2018 and it got worse on December, 8th 2019. Mid 2020 I was diagnosed with depression. 🙃",depression
More abt me Pt.2  I was diagnosed with depression and anxiety at a very young age  Recently diagnosed with ADHD in 2019  I'm already in treatment for bulimia although they refused to give me a therapist as my eating disorder is not “advanced enough”,depression
sometimes the song randomly starts playing in my head and i am reminded of how i was diagnosed with depression at the age of 7 and hate my life lolz  ...but the animation was kinda cute,depression
"""I was diagnosed with clinical depression ... The word “depression” was thrown around then, but it carried a stigma. Like most Black families, mental health wasn't something we had ever discussed."" #mentalhealth #mental #stigma #depression #therapy #black   https://t.co/U4rHLAUPZC",depression
"My name is Emmanuel and two years ago I was diagnosed with clinical depression and anxiety, you are NOT alone!!!🙏🏿❤️ #MentalHealthAwareness #MentalHealthMatters #EndTheStigma",depression
"so i was diagnosed with insomnia at age 18, i believe. and yea ok three years later, i was diagnosed with depression and it was confirmed the insomnia was tied to it but still-- point remains.   i literally have medically diagnosed chronic insomnia.",depression
"I was diagnosed with depression years ago and struggled with suicidal ideation. Nowadays, I think it has transitioned to what I'll call ""anxiety."" 2/",depression
"@nazumichi yes, I absolutely agree with that. i was diagnosed with depression and anxiety until a friend told me ""have you ever thought you could have more than that? i have bpd and I'm not a doctor but you should check with your psychologist. look at this"". i related to that, i was scared",depression
