Age,Job,Marital_Status,Education,Has_Credit,Housing_Loan,Personal_Loan,Contact,Duraction_Contact,Number_Contacts,Prev_Outcome,Employment_VarRate,Consumer_PriceIndex,Consumer_Confidence,Month_Rate,Employees,Client_Subscribed
36,self-employed,single,basic,no,no,no,cellular,148,1,nonexistent,1.4,93.918,-42.7,4.968,5228.1,no
50,blue-collar,married,basic,no,no,yes,cellular,849,1,nonexistent,1.4,93.918,-42.7,4.961,5228.1,yes
29,admin,single,basic,no,no,no,cellular,79,2,nonexistent,-1.8,92.893,-46.2,1.299,5099.1,no
32,blue-collar,married,basic,no,no,no,cellular,1091,2,success,-0.1,93.2,-42,4.191,5195.8,yes
33,unemployed,married,basic,no,no,no,telephone,11,6,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
38,blue-collar,married,basic,no,no,no,cellular,180,2,failure,-0.1,93.2,-42,4.153,5195.8,no
34,blue-collar,married,basic,no,no,no,telephone,7,1,nonexistent,-1.7,94.055,-39.8,0.702,4991.6,no
58,retired,married,basic,no,no,yes,cellular,144,1,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
75,retired,married,basic,no,no,no,cellular,109,1,failure,-1.8,93.075,-47.1,1.405,5099.1,yes
53,blue-collar,divorced,basic,no,no,no,telephone,706,1,nonexistent,1.4,94.465,-41.8,4.959,5228.1,yes
53,unemployed,married,basic,no,no,yes,cellular,242,1,failure,-3.4,92.649,-30.1,0.716,5017.5,no
82,housemaid,married,basic,no,no,no,telephone,279,3,success,-1.1,94.199,-37.5,0.877,4963.6,yes
31,blue-collar,married,basic,no,no,no,cellular,152,1,nonexistent,1.4,93.918,-42.7,4.963,5228.1,no
52,blue-collar,married,basic,no,no,no,cellular,809,1,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
51,blue-collar,married,basic,no,no,no,cellular,393,1,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
30,blue-collar,single,basic,no,no,no,cellular,30,1,nonexistent,-0.1,93.2,-42,4.12,5195.8,no
47,services,single,basic,no,no,no,cellular,187,2,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
58,blue-collar,married,basic,no,no,no,cellular,64,1,failure,-0.1,93.2,-42,4.153,5195.8,no
55,services,married,basic,no,no,no,cellular,76,13,nonexistent,1.4,93.444,-36.1,4.964,5228.1,no
59,retired,married,basic,no,no,no,telephone,353,4,nonexistent,-1.8,93.075,-47.1,1.453,5099.1,no
76,retired,single,basic,no,no,no,cellular,347,4,success,-3.4,92.649,-30.1,0.715,5017.5,yes
55,unemployed,married,basic,no,no,yes,cellular,185,1,nonexistent,1.4,93.918,-42.7,4.962,5228.1,no
42,admin,married,basic,no,no,no,telephone,406,3,failure,-1.8,93.075,-47.1,1.405,5099.1,no
57,technician,married,basic,no,no,no,cellular,94,1,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
42,blue-collar,married,basic,no,no,no,telephone,51,1,nonexistent,1.1,93.994,-36.4,4.859,5191,no
57,retired,divorced,basic,no,no,no,telephone,673,1,nonexistent,1.1,93.994,-36.4,4.857,5191,no
43,self-employed,married,basic,no,no,no,telephone,173,2,nonexistent,1.1,93.994,-36.4,4.858,5191,no
35,blue-collar,single,basic,no,no,no,cellular,370,1,failure,-0.1,93.2,-42,4.076,5195.8,no
37,blue-collar,single,basic,no,no,no,telephone,211,2,nonexistent,1.1,93.994,-36.4,4.857,5191,no
57,retired,married,basic,no,no,no,cellular,388,4,nonexistent,1.4,93.444,-36.1,4.965,5228.1,yes
38,blue-collar,married,basic,no,no,no,cellular,204,1,success,-1.8,92.893,-46.2,1.281,5099.1,no
81,retired,married,basic,no,no,no,cellular,617,2,nonexistent,-1.8,92.893,-46.2,1.354,5099.1,yes
30,services,married,basic,no,no,no,cellular,154,2,nonexistent,-0.1,93.2,-42,4.153,5195.8,no
42,blue-collar,married,basic,no,no,no,cellular,632,5,success,-1.8,92.893,-46.2,1.344,5099.1,no
52,housemaid,married,basic,no,no,no,telephone,54,4,nonexistent,1.1,93.994,-36.4,4.864,5191,no
30,services,married,basic,no,no,no,cellular,70,2,nonexistent,1.4,93.918,-42.7,4.961,5228.1,no
42,blue-collar,married,basic,no,no,no,telephone,456,2,nonexistent,1.1,93.994,-36.4,4.857,5191,no
47,management,divorced,basic,no,no,no,telephone,241,2,nonexistent,1.1,93.994,-36.4,4.855,5191,no
43,unemployed,married,basic,no,no,no,cellular,117,2,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,no
50,admin,married,basic,no,no,no,cellular,84,1,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
49,self-employed,single,basic,no,no,no,telephone,58,10,nonexistent,1.1,93.994,-36.4,4.858,5191,no
48,technician,married,basic,no,no,yes,telephone,175,1,nonexistent,1.1,93.994,-36.4,4.857,5191,no
51,blue-collar,married,basic,no,no,no,cellular,132,2,nonexistent,1.4,93.444,-36.1,4.968,5228.1,no
43,blue-collar,married,basic,no,no,yes,cellular,69,1,failure,-1.8,92.893,-46.2,1.281,5099.1,no
50,admin,divorced,basic,no,no,no,telephone,145,4,nonexistent,1.1,93.994,-36.4,4.857,5191,no
48,blue-collar,married,basic,no,no,yes,telephone,291,1,nonexistent,1.4,94.465,-41.8,4.864,5228.1,no
32,management,single,basic,no,no,no,telephone,73,7,nonexistent,1.1,93.994,-36.4,4.858,5191,no
41,management,divorced,basic,no,no,no,cellular,268,1,nonexistent,-0.1,93.2,-42,4.076,5195.8,no
