tweet,class,polarity,hate,target,aggressiveness
La Greta cada vez es más gilipollas 🤣,Yes violence,negative,no hateful,no targeted,no aggressive
@LaFallaras Solo describen lo que eres. Donde esta el problema loca?,Yes violence,negative,hateful,targeted,no aggressive
@fomentogob ¿Esta cuenta la dirige Greta majareta?,Yes violence,neutral,no hateful,no targeted,no aggressive
"@elespectador LOS REBUZNOS DE LA BURRA MARÍA FERNANDA CABAL DE LOS ESTABLOS URIBISTAS CONTRA  GRETA THUNHERG

"" PATÉTICA ""
"" PLASTICO RECICLABLE ""
"" ECOLOGETA RIDÍCULA ""
SE ME HACE RARO QUE EN ESTE CASO NO REBUZNARA https://t.co/3xG1T1QpCM",Yes violence,negative,hateful,targeted,aggressive
"@larepublica_co Y la estúpida de la, Greta q ha hecho x el clima además d viajar en clase alta y en yate.",Yes violence,negative,hateful,targeted,aggressive
"@LaFallaras Para que no te tengas que imaginar nada...
Toma al chupiprogre de Willy Toledo en LA RUBER, para que le atienda el personal de la privada, con lo que larga él de los pijos...
¡¿No levitas ya, payasa???! https://t.co/Eet1XUlKrL",Yes violence,negative,hateful,targeted,aggressive
"@AdaColau @openarms_fund Estás hablando a niños maldita loca ,no dando un mitin,ellos solo quieren jugar ,no cambiar el mundo .eres una acomplejada",Yes violence,negative,hateful,targeted,aggressive
"@LaFallaras A parte de ser más mala que el cianuro y tener un corazón podrido por el resentimiento de que no te quieran ni en tu casa, estás más loca que una puta cabra",Yes violence,negative,no hateful,no targeted,no aggressive
@amarielgg @carreragonzalo @GobiernodeChile @aprachile @Coquiangelica @GirealaDerecha @joseantoniokast @FridaSiKahlo @JFCuevasVila @supernova_alive Por lo menos está claro que en el @GobiernodeChile no hay nadie hace un par de meses. Un poco antes los vi bien preocupados tratando de sacarse fotos con una cabra chica histérica de nombre Greta.,Yes violence,negative,hateful,targeted,aggressive
@IrantzuVarela Puta loca del coño y terrorista lo tienes todo bonita,Yes violence,negative,hateful,targeted,aggressive
@_Mega_44 hay que reciclar todo ese plastico me lo ha dicho greta majareta,Yes violence,neutral,no hateful,no targeted,no aggressive
"@InesArrimadas Menos mal que tú con tus 10 diputados, lo arreglaras todo!!! Etes la montapollos mas votada!!
Motapollos -&gt; penosa -&gt; patetica. next level?",Yes violence,negative,hateful,targeted,aggressive
@LaFallaras Eres patética.,Yes violence,negative,hateful,targeted,no aggressive
"Querida greta, me llamo Kiwa y tengo 15años, vivo en un campamento para desplazados en Sudan del sur y he visto y leido las cosas que dices, que te han robado la infancia??, creo que vives en Suecia...,. Sin ánimo de molestar, hay que ser ignorante o tonta para decir algo asi.",Yes violence,negative,no hateful,no targeted,no aggressive
"@mariajoseboloes @iescolar Greta majareta 😂😂😂😂me ha encantado tu definición , genial👌👌👌",Yes violence,positive,no hateful,no targeted,no aggressive
"@cayetanaAT @Milin60 La realidad es que a esta pedazo de loca, al igual que el resto del PSOE y Podemos, no les importa España, por supuesto que mucho menos les importará Venezuela.",Yes violence,negative,hateful,targeted,aggressive
"@LaFallaras @elnacionalcat @ContadorAltsasu A veces pienso que el alcohol hace decir gilipolleces a la gente...luego leo tus twits y me convenzo de ello.
Échate novi@ de una puta vez y deja de echar espuma por la boca, hasta un adefesio como tú tiene su media naranja en algún lado.....ó no...visto tu careto.",Yes violence,negative,no hateful,no targeted,no aggressive
@LaFallaras Yo te imagino a ti y a tu puta familia en un hospital sin insumos médicos gracias a tu mierda de ideología. Zorra asquerosa,Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas @CiudadanosCs Vete a la puta mierda,so lerda, Estas desesperada porque sabes que vais a desaparecer,tonta más que tonta y lianta",Yes violence,negative,hateful,targeted,aggressive
@monasterioR Patética!!. Que pena de señora,Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas @CiudadanosCs ¿QUE SANCHEZ RECTIFIQUE? ¡y una mierda, puta tu madre! ¡te queremos muerta!",Yes violence,negative,no hateful,no targeted,no aggressive
"@markelgp No, no eres el único. Casi lo mismo que a Jose Bretón por asesinar, descuartizar y quemar a sus dos hijos pequeños.
Y en el caso de la Arandina la única prueba es la declaración de la chica.
Asi es la justicia española y quienes la aplican",Yes violence,negative,no hateful,no targeted,no aggressive
@InesArrimadas Eres la heredera del adoquín. Patética es poco.,Yes violence,negative,hateful,targeted,aggressive
"Estoy sp de acuerdo con Greta pero les juro que me da mucha desesperación verla, como que siempre tiene cara de loca, no sé cómo explicarlo pero me da mucho conflicto.",Yes violence,negative,no hateful,no targeted,no aggressive
"@nissulo26 @reygorila26 Javi, Greta Thunberg esta tan loca porque jugó a flower, fíjate si tiene mensaje.",Yes violence,neutral,hateful,targeted,no aggressive
@susanadiaz @sanchezcastejon @CiudadanosCs Más socialistas vende España y ladrones de los eres en la cárcel y menos en la redes sociales payasa.,Yes violence,negative,hateful,no targeted,aggressive
"@Irene_Montero_ Y quieres ser ministra. Qué Dios nos coja confesados!!! Por cierto a la otra mujer, a la que llamó cocainómana, mala madre, hija de puta, a esa ni mu. https://t.co/2aKihrV7bT",Yes violence,negative,hateful,targeted,aggressive
"Greta tuitea sobre su viaje en ""tren abarrotado""; empresa ferroviaria responde que lo hizo en primera clase https://t.co/7RCwtiy1rj
Esta muchachita boba, piensa que el mundo le rendira pletesia esta Loca esta mocosa FARSANTE",Yes violence,negative,hateful,targeted,aggressive
@LaFallaras Pues en la mesa de al lado mío han comido una payasa y una gilipollas.,Yes violence,negative,hateful,targeted,aggressive
"@IrantzuVarela Yo me lo ponía en la bio: ""Puta Loca del Coño Terrorista y Bonita"". Tal cual. 
😘",Yes violence,positive,hateful,targeted,aggressive
Bolsonaro llama “mocosa” a Greta Thunberg ➨ https://t.co/ZY2kyJXf4Z,Yes violence,negative,no hateful,no targeted,no aggressive
"@cayetanaAT La bocasucia! Marxa a la teva argentina querida , q hi ha molta feina a fer! Andate querida! Andate a tu patria querida! Carda el camp de casa nostra, q no tens ni puta idea del q ha estat aquest Pais.",Yes violence,negative,no hateful,no targeted,no aggressive
"@AdaColau Has quitado que a parte de subir el precio del metro que ya un viaje no valga durante una hora , he tenido que comprar otro por salir un momento a la calle. Eres una maldita hija de puta.",Yes violence,negative,hateful,targeted,aggressive
"@monasterioR Vaya que patética!
Queriendo dar lecciones de moral cuando ni usted ni su partido la tiene
Ud cree que mentir,estafar y ser corrupto se limpia con un Ave María e ir a misa?
Pues siento decirle que en el siglo XXI ya no cuela pero,claro en el medievo como vive usted aún se lo cree",Yes violence,negative,no hateful,no targeted,no aggressive
"@LaFallaras Borracha? 
También toxicómana? 
Puta, también? 
Loca de los gatos?
Ladrona?  
Tía, eres un partidazo, un «puro» partidazo.",Yes violence,negative,hateful,targeted,aggressive
"@LeticiaDolera No digas por dónde estás o la foto y su cartel de
-hasta una puta matazombie se ca** con el coronavirus!!!",Yes violence,negative,hateful,no targeted,no aggressive
"@RTVEValencia @telediario_tve @__Varella @YaelMillet ""Calentamiento global"".
Llamen a Greta Majareta...",Yes violence,negative,no hateful,no targeted,no aggressive
@IrantzuVarela @Santi_ABASCAL @ivanedlm En España no se quemaba a nadie. Aprende algo de historia payasa. https://t.co/I9km7AyH6y,Yes violence,negative,hateful,targeted,aggressive
"La cara de @Guaido en su reunión con @realDonaldTrump es un poema, me recuerda a la pequeña, delicada y loca de Greta 😂😂😂",Yes violence,neutral,hateful,targeted,aggressive
Un montón de mamertos solapingones analfabetos tontos siguen y hablan maravillas de la manipulada tonta de Greta. Pero no le creen lo que dice esta jovencita de corea del norte. En fin. Prefieren escuchar mentiras que verdaderas realidades que viven los países comunistas. https://t.co/bRilDd5biw,Yes violence,negative,hateful,no targeted,no aggressive
"@LaFallaras Ostia puta, q repugnante q eres. Ya me gustaría verte a ti toda borracha por ahi. Algún día llegará ese dia",Yes violence,negative,no hateful,no targeted,no aggressive
@CarlaZambelli17 @GretaThunberg Idiota completa!!!,Yes violence,neutral,no hateful,no targeted,no aggressive
"@InesArrimadas @Cs_Andalucia Patètica, los falsos los has ""contao"". ?",Yes violence,neutral,no hateful,no targeted,no aggressive
"@cayetanaAT @NEBarrios Hija fe la gran puta , coño e madre!! Tarifada! Sucia",Yes violence,negative,hateful,targeted,aggressive
@susanadiaz Resultas más patética de lo habitual cuando pretendes agradar al líder de tu secta,Yes violence,negative,hateful,targeted,aggressive
@AnabelAlonso_of Ahora qué? Payasa,Yes violence,negative,hateful,targeted,aggressive
"Acusar sin pruebas es una costumbre ya, lamentablemente...
Que oscuros intereses se mueven detras de esta ""mocosa""...? https://t.co/hc4Jg0Vril",Yes violence,negative,hateful,targeted,aggressive
18 veces llamó la supuesta “víctima” a uno de los acusados del Arandina (sin que él cogiera el teléfono) el día anterior... y dicen que fue violación... una farsa que si ningún juez lo impide va a llevar a 3 chicos a la cárcel durante 38 años. Ella solo se merece un calificativo,Yes violence,negative,no hateful,no targeted,no aggressive
@MarcelinMarshal @Pedro_Artista @GretaThunberg Tonta UTILizada,Yes violence,negative,hateful,targeted,aggressive
@LaFallaras Con eso el aliento te va a oler de puta madre 👍🏻,Yes violence,positive,no hateful,no targeted,no aggressive
@cayetanaAT Eres una hija de puta.,Yes violence,negative,hateful,targeted,aggressive
@pudrenamaria Greta es una cerda!!!,Yes violence,negative,hateful,targeted,aggressive
"@monasterioR @julia_otero Si te vas un poco más a la puta mierda nos haces un favor, recuerda que estamos ya en el siglo XXI",Yes violence,negative,no hateful,no targeted,no aggressive
@FranVerellen a la mierda los animales ya vas a ver hija de puta greta thunberg me voy a comer un asado de churrasco,Yes violence,negative,hateful,no targeted,aggressive
"@LaFallaras @sanchezcastejon Te imaginas si nos devuelven el oro robado, las obras de arte...coño! Y los millones de los Eres? Te imaginas? Pá qué te vas a imaginar eso....pá qué!! Payasa.",Yes violence,negative,hateful,targeted,aggressive
@LaFallaras @populares @CiudadanosCs Eres una perra mala....,Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas @CiudadanosCs Y de que te sirven los estudios si tu no la llegas ni a la suela de sus zapatos,eres muy patética, no sabes ni hacer política",Yes violence,negative,hateful,targeted,aggressive
"@vox_es La condena de la arandina, es un claro y nítido caso de corrupción judicial y aunque todavía no sea firme, dichos jueces han puesto en evidencia que sobre la inocencia, prima el castigo más exarcebado para contentar a quienes le dirigen.",Yes violence,negative,no hateful,no targeted,no aggressive
"@cayetanaAT Vete al pedo, payasa en funciones.",Yes violence,negative,hateful,targeted,aggressive
"@cayetanaAT Trite ignoramterastrera par chupar del bote.
Ni puta idea de que es politica ni que es el pueblo.
Hechate un revocon a ver si se te quita esta mala leche",Yes violence,negative,hateful,targeted,aggressive
"@FedericoHaDicho @karloxt1 Ni son canallas los del Arandina, ni los de Pamplona.

Los primeros mi tocaron a la tipa ( q no tiene pruebas), los segundos accedieron a hacer realidad su fantasía de sexo en grupo ( y aportaron 3 videos como prueba).

El juez González fue el único q no prevaricó.",Yes violence,negative,no hateful,no targeted,no aggressive
"@cayetanaAT Pedazo vaga eres, bonita
Cómo muchos españoles a currar que todavía no os habéis ganado el sueldo. Lleváis dos años tomándonos el pelo, así que a currar. Y si no como en cualquier empresa sería, a la puta calle y sin cobrar",Yes violence,negative,hateful,targeted,aggressive
"@MaMechecastro74 @Martinminguchi @PatricioMery La seuda ""Greta"" te da lecciones de política, algo que ni leyendo mil veces podrás entender pelotuda..",Yes violence,negative,hateful,targeted,aggressive
@monasterioR Los comunistas están en Cuba. Y tú estás en la parra. Loca del coño.,Yes violence,negative,hateful,no targeted,aggressive
Le escribo a la zorra de Laura y Greta!! Ninguna me contesta 🤦‍♀️🤦‍♀️,Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas @CiudadanosCs Señora @InesArrimadas como profesora de Universidad le digo: De verdad, se cree que por tener un título tiene derecho a colocarse por encima de los demás? Tuvo que ser muy difícil escuchar la lúcida intervención @Adrilastra NO sea patética.",Yes violence,negative,no hateful,no targeted,no aggressive
"@InesArrimadas Ones, más tonta, q lo que llevas entremedio, que cojones pides, si tienes 10 D, deja de chupar del bote, deja la política, o mejor, vete a Génova 13,estran encantado de ser asesora de cayetana, vas a hundir todavía más a cs, al país no te necesita, as demostrado q eres patetica",Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas Ya tenemos a la payasa de nuevo en acción... Inés, esto no es Salvame Deluxe https://t.co/OrEtEGFwej",Yes violence,negative,no hateful,no targeted,no aggressive
"@cayetanaAT Claro Caye, como tu has ido siempre al concierto de Sant Esteve, vete un poco a cagar pesada, y cuando hables sobre lo que pasa en CataluNYa piensa en tus míseros votos PATÉTICA",Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas Estás loca, el odio te ha trastornado. 
La buena noticia es que tiene tratamiento.",Yes violence,positive,no hateful,no targeted,no aggressive
@LaFallaras Y que ? Acaso tienes perjuicios payasa,Yes violence,negative,hateful,targeted,aggressive
@AnabelAlonso_of Callete la PUTA boca!!!!!!!!,Yes violence,negative,no hateful,no targeted,no aggressive
Hahaha en la cara Greta Majareta! Estudia algo y habla menos https://t.co/O0CbncbfBi,Yes violence,negative,no hateful,no targeted,no aggressive
"@LaFallaras Y como una puta cabra, tb estás.",Yes violence,negative,hateful,targeted,aggressive
Los de #HermanaYoSiTeCreo en favor de la víctima de la Arandina no se han leído la sentencia.,Yes violence,neutral,no hateful,no targeted,no aggressive
"@InesArrimadas Acabaras com la Rosa Diez, com un llum. LA LOCA LOS GATOS",Yes violence,negative,no hateful,no targeted,no aggressive
"@InesArrimadas se llama historia, payasa",Yes violence,negative,hateful,targeted,aggressive
"@LaFallaras Por favor, hagase eco de la hija de la gran puta que asesinó a su hija de 5 años y cuyo padre se ha quedado sin lo que más amaba por que una asesina lo decidió. Si no pierde toda credibilidad, farsante.",Yes violence,negative,no hateful,no targeted,no aggressive
@susanadiaz @sanchezcastejon @CiudadanosCs Eres una perdedora patetica,Yes violence,negative,hateful,targeted,aggressive
Puta greta https://t.co/SpsPocHkzb,Yes violence,negative,hateful,targeted,aggressive
Bolsonaro califica de «mocosa» a Greta Thunberg y ella le responde en Twitter https://t.co/ek9K8Ca9PU,Yes violence,neutral,no hateful,no targeted,no aggressive
"@cayetanaAT Estoy segura de que si ETA siguiese matando tu,asquerosa,estarias callada y escondida. Eres la típica hija de puta envalentonada porque sabe que no le puede pasar nada. Se te tenían que aparecer los muertos y pedirte cuentas,so desgracià.",Yes violence,negative,hateful,targeted,aggressive
"la persona del año para la revista Times es greta nosequemierda. Chicos, una pendeja millonaria que viaja en velero por el mundo diciendo lo mismo que todos los chicos de su edad. De verdad? Esta bien que el mundo se acabe.",Yes violence,neutral,hateful,targeted,aggressive
@cayetanaAT Patetica!!!,Yes violence,negative,hateful,targeted,aggressive
"@AdaColau Ado, no seas mentiroso. Y por favor, a ver si te das cuenta de una puta vez q:
- no eres presidenta de plataformas contra Contra desahucios.
- estudia bien las competencias de tu cargo.
- usar el ayuntamiento para atacar empresas privadas y lavar tu imagen e incompetencia...NO",Yes violence,negative,no hateful,no targeted,no aggressive
@cayetanaAT Acuestate q el azucar del turron te ha subido a la cabeza y tienes a la neurona loca perdida,Yes violence,negative,hateful,targeted,no aggressive
"@LaFallaras @voxpopul El violador lo será tu puta madre, que ya está bien hombre, hartita  tenéis a la sociedad ya, no sabéis más que sembrar odio por que sólo proyectáis el que sentís por vosotras mismas.",Yes violence,negative,no hateful,no targeted,no aggressive
@LaFallaras @ahorapodemos @iunida @publico_es Eso corre loca que se os acaba el chiringuito,Yes violence,neutral,hateful,targeted,aggressive
"@Eruoce @vox_es Este hilo surge a raíz del caso Arandina, donde NO ha existido ninguna violación, cualquier persona con sentido común entiende que 38 años por una felacion es algo totalmente desproporcionado",Yes violence,negative,no hateful,no targeted,no aggressive
"gracias Víctor aka mi profe de cívica uno de los mejores que tuve jamás x hacerme saber que esta es una pelotuda porque lo que dice Greta (16 (DIECISÉIS) AÑOS) es q el poder está en el pueblo que hace ruido y protesta por sus derechos y por un mundo mejor
no en un tuit inculto https://t.co/TAwzyYwPQo",Yes violence,negative,no hateful,no targeted,no aggressive
"@LaFallaras Pero q coño estás diciendo !!!! 4 de cada 10!!! Ostia puta q imbecil que eres, y mentirosa!!!!",Yes violence,negative,hateful,targeted,aggressive
@AnabelAlonso_of Cerda,Yes violence,neutral,hateful,targeted,aggressive
hizo más que la estúpida de greta no se que verga en toda su campaña ridicula https://t.co/sxdes36PiT,Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas Otra nazi que se va a la mierda 💩 en 3,2,1, es patética, ya nadie se traga tus bolas gilipollas",Yes violence,negative,hateful,targeted,aggressive
Mocosa insolente... https://t.co/aNBIsTte6M Leído en Diarios Argentinos https://t.co/rx25Ve0oJV @diariosargapp,Yes violence,negative,hateful,targeted,aggressive
"@InesArrimadas llorando para que uno de los 120 diputados del PSOE haga decaer la investidura. Chica, ya basta, eres patética.",Yes violence,negative,hateful,targeted,aggressive
