PetID,Type,Breed,Age,Color,Size,Weight,Vaccinated,HealthCondition,TimeInShelter,AdoptionFee,PreviousOwner,AdoptionLikelihood
500,Bird,Parakeet,131,Orange,Large,5.0,1,0,27,140,0,Unlikely
501,Rabbit,Rabbit,73,White,Large,16.1,0,0,8,235,0,Unlikely
502,Dog,Golden Retriever,136,Orange,Medium,2.1,0,0,85,385,0,Unlikely
503,Bird,Parakeet,97,White,Small,3.3,0,0,61,217,1,Unlikely
504,Rabbit,Rabbit,123,Gray,Large,20.5,0,0,28,14,1,Unlikely
505,Dog,Labrador,70,Brown,Large,21.0,0,0,87,301,1,Unlikely
506,Bird,Parakeet,169,Brown,Small,10.9,1,0,70,440,1,Unlikely
507,Cat,Siamese,13,Orange,Large,7.3,1,0,3,137,0,Likely
508,Bird,Parakeet,49,Brown,Medium,24.6,1,1,69,405,0,Unlikely
509,Bird,Parakeet,60,Gray,Large,7.3,0,0,73,231,1,Unlikely
510,Bird,Parakeet,130,Orange,Large,16.7,0,0,7,88,0,Unlikely
511,Rabbit,Rabbit,5,White,Small,29.1,1,0,60,462,0,Likely
512,Dog,Golden Retriever,172,Brown,Large,5.3,1,0,4,76,1,Unlikely
513,Cat,Siamese,27,Black,Large,28.3,1,0,5,135,0,Unlikely
514,Cat,Persian,160,Brown,Medium,6.3,1,0,11,404,0,Likely
515,Rabbit,Rabbit,149,White,Small,17.5,1,0,15,468,1,Unlikely
516,Cat,Persian,8,Orange,Small,11.9,1,1,64,405,1,Unlikely
517,Cat,Persian,50,White,Medium,29.0,1,0,13,109,0,Likely
518,Rabbit,Rabbit,67,Black,Large,8.9,1,1,7,352,1,Unlikely
519,Dog,Labrador,44,Gray,Small,12.6,0,1,6,300,0,Unlikely
520,Rabbit,Rabbit,125,Brown,Small,29.5,1,0,56,90,0,Unlikely
521,Cat,Persian,58,Orange,Large,16.6,0,0,64,423,1,Unlikely
522,Dog,Labrador,3,Gray,Large,15.6,1,0,50,369,1,Likely
523,Dog,Golden Retriever,86,White,Small,8.5,1,0,30,405,0,Unlikely
524,Bird,Parakeet,70,Orange,Large,21.3,1,0,22,413,0,Unlikely
525,Bird,Parakeet,130,Gray,Small,1.4,1,0,25,189,0,Unlikely
526,Cat,Persian,172,Orange,Large,2.4,1,0,28,72,0,Unlikely
527,Rabbit,Rabbit,2,Black,Large,18.4,1,1,84,172,0,Unlikely
528,Rabbit,Rabbit,102,Black,Medium,10.9,0,0,39,34,0,Unlikely
529,Rabbit,Rabbit,35,Brown,Large,28.6,0,1,67,209,0,Unlikely
530,Bird,Parakeet,98,Brown,Medium,27.2,1,0,5,297,0,Likely
531,Cat,Persian,30,Black,Large,21.7,1,1,65,132,0,Unlikely
532,Bird,Parakeet,116,Orange,Small,24.7,1,0,15,282,1,Unlikely
533,Cat,Siamese,8,Black,Small,20.4,1,0,67,197,0,Likely
534,Rabbit,Rabbit,150,Brown,Large,4.6,1,0,40,445,0,Unlikely
535,Bird,Parakeet,44,Black,Large,23.2,0,0,69,31,1,Unlikely
536,Rabbit,Rabbit,36,Black,Small,7.1,1,0,77,135,1,Unlikely
537,Rabbit,Rabbit,77,Orange,Large,10.4,0,0,43,247,0,Unlikely
538,Dog,Golden Retriever,31,Gray,Medium,24.8,1,0,1,358,0,Likely
539,Dog,Golden Retriever,47,Brown,Medium,16.6,0,0,22,340,1,Unlikely
540,Bird,Parakeet,55,Orange,Medium,25.9,1,0,62,145,0,Likely
541,Dog,Labrador,106,Black,Medium,7.2,0,0,79,333,1,Likely
