PetID,Type,Breed,Age,Color,Size,Weight,Vaccinated,HealthCondition,TimeInShelter,AdoptionFee,PreviousOwner,AdoptionLikelihood
500,Bird,Parakeet,131.0,Orange,Large,5.0,1,0,27.0,140,0.0,Unlikely
501,Rabbit,Rabbit,73.0,White,Large,16.1,0,0,8.0,235,0.0,Unlikely
502,Dog,Golden Retriever,136.0,Orange,Medium,2.1,0,0,85.0,385,0.0,Unlikely
503,Bird,Parakeet,97.0,White,Small,3.3,0,0,61.0,217,1.0,Unlikely
504,Rabbit,Rabbit,123.0,Gray,Large,20.5,0,0,28.0,14,1.0,Unlikely
505,Dog,Labrador,70.0,Brown,Large,21.0,0,0,87.0,301,1.0,Unlikely
506,Bird,Parakeet,169.0,Brown,Small,10.9,1,0,70.0,440,1.0,Unlikely
507,Cat,Siamese,13.0,Orange,Large,7.3,1,0,3.0,137,0.0,Likely
508,Bird,Parakeet,49.0,Brown,Medium,24.6,1,1,69.0,405,0.0,Unlikely
509,Bird,Parakeet,60.0,Gray,Large,7.3,0,0,73.0,231,1.0,Unlikely
510,Bird,Parakeet,130.0,Orange,Large,16.7,0,0,7.0,88,0.0,Unlikely
511,Rabbit,Rabbit,5.0,White,Small,29.1,1,0,60.0,462,0.0,Likely
512,Dog,Golden Retriever,172.0,Brown,Large,5.3,1,0,4.0,76,1.0,Unlikely
513,Cat,Siamese,27.0,Black,,28.3,1,0,5.0,135,0.0,Unlikely
514,Cat,Persian,160.0,Brown,Medium,6.3,1,0,11.0,404,,Likely
515,Rabbit,Rabbit,149.0,White,Small,17.5,1,0,15.0,468,1.0,Unlikely
516,Cat,Persian,8.0,Orange,Small,11.9,1,1,64.0,405,1.0,Unlikely
517,Cat,Persian,50.0,White,Medium,29.0,1,0,13.0,109,0.0,Likely
518,Rabbit,Rabbit,67.0,Black,Large,8.9,1,1,7.0,352,1.0,Unlikely
519,Dog,Labrador,44.0,Gray,Small,12.6,0,1,6.0,300,0.0,Unlikely
520,Rabbit,Rabbit,,Brown,Small,29.5,1,0,56.0,90,0.0,Unlikely
521,Cat,Persian,58.0,Orange,Large,16.6,0,0,64.0,423,1.0,Unlikely
522,Dog,Labrador,3.0,Gray,Large,15.6,1,0,50.0,369,1.0,Likely
523,Dog,Golden Retriever,86.0,White,Small,8.5,1,0,30.0,405,0.0,Unlikely
524,Bird,Parakeet,70.0,Orange,Large,21.3,1,0,22.0,413,0.0,Unlikely
525,Bird,Parakeet,130.0,Gray,Small,1.4,1,0,25.0,189,0.0,Unlikely
526,Cat,Persian,172.0,Orange,Large,2.4,1,0,28.0,72,0.0,Unlikely
527,Rabbit,Rabbit,2.0,Black,Large,18.4,1,1,84.0,172,0.0,Unlikely
528,Rabbit,Rabbit,102.0,Black,Medium,10.9,0,0,39.0,34,0.0,Unlikely
529,Rabbit,Rabbit,35.0,Brown,Large,28.6,0,1,67.0,209,0.0,Unlikely
530,Bird,Parakeet,98.0,Brown,Medium,27.2,1,0,5.0,297,0.0,Likely
531,Cat,Persian,30.0,Black,Large,21.7,1,1,65.0,132,0.0,Unlikely
532,Bird,Parakeet,116.0,Orange,Small,24.7,1,0,15.0,282,1.0,Unlikely
533,Cat,Siamese,8.0,Black,Small,20.4,1,0,67.0,197,0.0,Likely
534,Rabbit,Rabbit,150.0,Brown,,4.6,1,0,40.0,445,0.0,Unlikely
535,Bird,Parakeet,44.0,Black,Large,23.2,0,0,69.0,31,1.0,Unlikely
536,Rabbit,Rabbit,36.0,Black,Small,7.1,1,0,77.0,135,1.0,Unlikely
537,Rabbit,Rabbit,77.0,Orange,Large,10.4,0,0,43.0,247,0.0,Unlikely
538,Dog,Golden Retriever,31.0,Gray,Medium,24.8,1,0,1.0,358,0.0,Likely
539,Dog,Golden Retriever,47.0,Brown,Medium,16.6,0,0,22.0,340,1.0,Unlikely
540,Bird,Parakeet,55.0,Orange,Medium,25.9,1,0,62.0,145,0.0,Likely
541,Dog,Labrador,106.0,Black,Medium,7.2,0,0,79.0,333,1.0,Likely
542,Bird,Parakeet,158.0,Black,Medium,18.6,1,0,26.0,142,0.0,Likely
543,Cat,Persian,121.0,Gray,Large,3.4,1,1,18.0,233,0.0,Unlikely
544,Dog,Poodle,55.0,Brown,Large,19.6,1,0,48.0,409,0.0,Unlikely
545,Cat,Persian,144.0,Brown,Medium,23.1,1,0,9.0,436,1.0,Likely
546,Dog,Poodle,12.0,White,Large,18.0,1,1,1.0,43,1.0,Unlikely
547,Dog,Poodle,145.0,Brown,Large,8.7,1,0,9.0,31,0.0,Unlikely
548,Rabbit,Rabbit,144.0,Gray,Medium,1.9,1,0,23.0,230,0.0,Likely
549,Rabbit,Rabbit,140.0,White,Large,4.5,0,0,45.0,27,0.0,Unlikely
550,Bird,Parakeet,136.0,White,Large,19.0,1,0,2.0,422,0.0,Unlikely
551,Rabbit,Rabbit,3.0,Black,Large,28.1,0,0,14.0,490,1.0,Unlikely
552,Bird,Parakeet,144.0,Black,Medium,7.0,0,0,38.0,159,0.0,Unlikely
553,Rabbit,Rabbit,30.0,Brown,Large,22.3,1,0,40.0,332,1.0,Unlikely
554,Dog,Golden Retriever,23.0,White,Small,26.1,1,0,63.0,206,0.0,Likely
555,Bird,Parakeet,92.0,Black,Small,16.1,1,0,82.0,17,1.0,Unlikely
556,Cat,Siamese,115.0,Gray,Medium,20.4,1,1,16.0,102,1.0,Unlikely
557,Rabbit,Rabbit,104.0,Black,Small,24.6,0,0,75.0,69,0.0,Unlikely
558,Cat,Persian,118.0,Black,Medium,8.6,0,1,6.0,118,0.0,Unlikely
559,Rabbit,Rabbit,5.0,White,Small,9.6,1,1,3.0,138,0.0,Unlikely
560,Cat,Persian,104.0,White,Small,1.0,1,0,14.0,159,0.0,Unlikely
561,Cat,Persian,108.0,Orange,Small,28.9,0,0,66.0,231,0.0,Unlikely
562,Cat,Persian,65.0,Gray,Medium,27.6,1,0,75.0,147,0.0,Likely
563,Cat,Siamese,121.0,White,Medium,23.2,1,1,86.0,352,1.0,Unlikely
564,Bird,Parakeet,30.0,Brown,Large,3.3,1,0,67.0,423,,Unlikely
565,Cat,Persian,149.0,Gray,Medium,14.0,1,1,31.0,391,1.0,Unlikely
566,Rabbit,Rabbit,84.0,Gray,Small,4.0,1,0,33.0,242,1.0,Unlikely
567,Cat,Persian,150.0,White,Small,1.5,1,0,88.0,34,1.0,Unlikely
568,Cat,Persian,32.0,Gray,Medium,18.9,0,0,1.0,324,0.0,Unlikely
569,Cat,Siamese,161.0,White,Medium,28.9,1,0,44.0,381,0.0,Likely
570,Rabbit,Rabbit,16.0,Black,Medium,27.2,1,0,15.0,354,0.0,Likely
571,Bird,Parakeet,38.0,Orange,Large,21.2,0,0,37.0,238,0.0,Unlikely
572,Rabbit,Rabbit,142.0,Black,Small,3.8,1,0,27.0,333,0.0,Unlikely
573,Cat,Siamese,36.0,White,Large,9.0,1,0,48.0,148,1.0,Unlikely
574,Rabbit,Rabbit,151.0,White,Large,10.3,1,1,27.0,110,0.0,Unlikely
575,Dog,Poodle,114.0,Black,Small,23.1,0,1,12.0,407,0.0,Unlikely
576,Rabbit,Rabbit,66.0,Brown,Small,24.3,1,0,67.0,16,1.0,Unlikely
577,Dog,Labrador,105.0,Brown,Medium,12.2,1,0,30.0,401,0.0,Likely
578,Cat,Siamese,85.0,Brown,Medium,13.1,0,0,87.0,225,0.0,Unlikely
579,Dog,Poodle,2.0,White,Large,2.3,1,0,66.0,139,1.0,Likely
580,Dog,Labrador,75.0,Gray,Medium,9.4,1,0,7.0,143,0.0,Likely
581,Dog,Labrador,67.0,White,Medium,14.1,1,0,34.0,259,0.0,Likely
582,Bird,Parakeet,151.0,Gray,Small,4.4,0,1,32.0,216,0.0,Unlikely
583,Dog,Labrador,154.0,Black,Small,14.1,1,1,39.0,161,1.0,Unlikely
584,Dog,Golden Retriever,55.0,Orange,Medium,25.7,1,0,43.0,91,0.0,Likely
585,Dog,Labrador,6.0,Gray,Small,17.9,1,0,43.0,173,0.0,Likely
586,Rabbit,Rabbit,163.0,Brown,Medium,3.3,1,0,78.0,330,0.0,Likely
587,Rabbit,Rabbit,150.0,White,Small,6.6,1,0,3.0,204,0.0,Unlikely
588,Rabbit,Rabbit,171.0,Black,Small,14.8,0,0,46.0,414,0.0,Unlikely
589,Bird,Parakeet,143.0,Brown,Small,11.5,1,0,32.0,152,0.0,
590,Bird,Parakeet,86.0,Black,Small,11.4,1,0,43.0,102,0.0,Unlikely
591,Bird,Parakeet,60.0,Orange,,16.3,1,1,81.0,201,0.0,Unlikely
592,Dog,Golden Retriever,101.0,White,Large,17.9,0,0,3.0,279,0.0,Unlikely
593,Bird,Parakeet,12.0,White,Small,24.1,1,1,74.0,64,0.0,Unlikely
594,Dog,Golden Retriever,49.0,Orange,Medium,10.9,1,1,63.0,116,0.0,Unlikely
595,Dog,Poodle,42.0,White,Medium,24.4,1,1,40.0,152,0.0,Unlikely
596,Bird,Parakeet,166.0,Gray,Small,10.8,0,0,18.0,155,0.0,Unlikely
597,Cat,Siamese,82.0,Black,Large,2.6,0,0,67.0,163,1.0,Unlikely
598,Rabbit,Rabbit,173.0,Brown,Small,17.1,0,0,62.0,81,1.0,Unlikely
599,Bird,Parakeet,35.0,Orange,Medium,18.0,1,0,10.0,5,0.0,Likely
600,Dog,Poodle,158.0,Gray,Large,28.1,0,0,52.0,321,0.0,Unlikely
601,Dog,Golden Retriever,158.0,Brown,Medium,22.1,0,0,73.0,66,0.0,Unlikely
602,Bird,Parakeet,134.0,Brown,Small,27.6,0,0,46.0,237,0.0,Unlikely
603,Cat,Persian,67.0,Orange,Large,27.3,1,0,55.0,71,0.0,Unlikely
604,Dog,Golden Retriever,80.0,Gray,Medium,18.5,0,1,46.0,94,0.0,Unlikely
605,Rabbit,Rabbit,7.0,Brown,Medium,16.3,1,0,75.0,303,1.0,Likely
606,Rabbit,Rabbit,14.0,Brown,Medium,17.2,0,0,60.0,466,0.0,Likely
607,Cat,Siamese,73.0,Gray,Small,29.4,1,0,26.0,497,0.0,Unlikely
608,Bird,Parakeet,143.0,White,Large,23.4,1,0,27.0,325,1.0,Unlikely
609,Dog,Golden Retriever,149.0,Brown,Small,4.1,1,0,38.0,77,0.0,Unlikely
610,Dog,Golden Retriever,163.0,Black,Small,23.6,1,0,22.0,66,0.0,Unlikely
611,Cat,Siamese,66.0,Gray,Small,5.9,1,0,26.0,175,1.0,Unlikely
612,Dog,Labrador,91.0,Brown,Large,14.0,1,0,86.0,320,1.0,Likely
613,Cat,Siamese,130.0,Orange,Small,7.1,1,0,69.0,171,1.0,Unlikely
614,Bird,Parakeet,163.0,Black,Small,21.0,1,0,35.0,477,0.0,Unlikely
615,Cat,Siamese,20.0,Brown,Small,26.4,1,0,66.0,254,0.0,Likely
616,Bird,Parakeet,10.0,Black,Small,9.4,1,0,73.0,62,1.0,Likely
617,Dog,Golden Retriever,25.0,Black,Medium,3.4,1,0,51.0,301,0.0,Likely
618,Bird,Parakeet,25.0,White,Small,9.7,1,1,18.0,402,1.0,Unlikely
619,Cat,Persian,54.0,Black,Medium,20.5,1,1,43.0,245,0.0,Unlikely
620,Rabbit,Rabbit,33.0,White,Small,10.5,0,0,12.0,191,0.0,Unlikely
621,Dog,Golden Retriever,164.0,Gray,Large,9.1,0,0,3.0,466,1.0,Unlikely
622,Bird,Parakeet,95.0,White,Medium,6.3,1,0,82.0,328,0.0,Likely
623,Rabbit,Rabbit,14.0,Orange,Medium,15.4,0,0,7.0,70,0.0,Likely
624,Bird,Parakeet,65.0,Brown,Medium,9.0,1,0,6.0,365,0.0,Likely
625,Dog,Labrador,110.0,Gray,Medium,22.2,0,0,82.0,228,0.0,Likely
626,Rabbit,Rabbit,80.0,Gray,Large,3.2,1,0,45.0,433,0.0,Unlikely
627,Rabbit,Rabbit,54.0,Orange,Small,20.3,1,0,86.0,62,0.0,Unlikely
628,Cat,Siamese,125.0,White,Medium,7.9,1,0,39.0,296,0.0,Likely
629,Bird,Parakeet,131.0,Brown,Large,15.2,1,0,51.0,244,1.0,Unlikely
630,Bird,Parakeet,169.0,White,Medium,9.3,0,0,9.0,6,0.0,Unlikely
631,Dog,Golden Retriever,134.0,Black,Small,22.0,0,0,23.0,392,1.0,Unlikely
632,Bird,Parakeet,25.0,White,Medium,28.4,1,0,12.0,259,0.0,Likely
633,Dog,Labrador,141.0,Gray,Large,27.6,1,0,88.0,88,0.0,Likely
634,Rabbit,Rabbit,117.0,Brown,Small,17.9,1,0,62.0,176,0.0,Unlikely
635,Bird,Parakeet,136.0,White,Large,14.4,1,0,73.0,203,1.0,Unlikely
636,Bird,Parakeet,149.0,Brown,Small,24.7,1,0,77.0,133,1.0,Unlikely
