sex,age,alone,sibsp,parch,class,deck,embark_town,fare,survived?
male,22.0,False,1,0,3,C,Southampton,7.25,No
female,38.0,False,1,0,1,C,Cherbourg,71.2833,Yes
female,26.0,True,0,0,3,C,Southampton,7.925,Yes
female,35.0,False,1,0,1,C,Southampton,53.1,Yes
male,35.0,True,0,0,3,C,Southampton,8.05,No
male,35.0,True,0,0,3,C,Queenstown,8.4583,No
male,54.0,True,0,0,1,E,Southampton,51.8625,No
male,2.0,False,3,1,3,C,Southampton,21.075,No
female,27.0,False,0,2,3,C,Southampton,11.1333,Yes
female,14.0,False,1,0,2,C,Cherbourg,30.0708,Yes
female,4.0,False,1,1,3,G,Southampton,16.7,Yes
female,58.0,True,0,0,1,C,Southampton,26.55,Yes
male,20.0,True,0,0,3,C,Southampton,8.05,No
male,39.0,False,1,5,3,C,Southampton,31.275,No
female,14.0,True,0,0,3,C,Southampton,7.8542,No
female,55.0,True,0,0,2,C,Southampton,16.0,Yes
male,2.0,False,4,1,3,C,Queenstown,29.125,No
male,2.0,True,0,0,2,C,Southampton,13.0,Yes
female,31.0,False,1,0,3,C,Southampton,18.0,No
female,31.0,True,0,0,3,C,Cherbourg,7.225,Yes
male,35.0,True,0,0,2,C,Southampton,26.0,No
male,34.0,True,0,0,2,D,Southampton,13.0,Yes
female,15.0,True,0,0,3,C,Queenstown,8.0292,Yes
male,28.0,True,0,0,1,A,Southampton,35.5,Yes
female,8.0,False,3,1,3,C,Southampton,21.075,No
female,38.0,False,1,5,3,C,Southampton,31.3875,Yes
male,38.0,True,0,0,3,C,Cherbourg,7.225,No
male,19.0,False,3,2,1,C,Southampton,263.0,No
female,19.0,True,0,0,3,C,Queenstown,7.8792,Yes
male,19.0,True,0,0,3,C,Southampton,7.8958,No
male,40.0,True,0,0,1,C,Cherbourg,27.7208,No
female,40.0,False,1,0,1,B,Cherbourg,146.5208,Yes
female,40.0,True,0,0,3,C,Queenstown,7.75,Yes
male,66.0,True,0,0,2,C,Southampton,10.5,No
male,28.0,False,1,0,1,C,Cherbourg,82.1708,No
male,42.0,False,1,0,1,C,Southampton,52.0,No
male,42.0,True,0,0,3,C,Cherbourg,7.2292,Yes
male,21.0,True,0,0,3,C,Southampton,8.05,No
female,18.0,False,2,0,3,C,Southampton,18.0,No
female,14.0,False,1,0,3,C,Cherbourg,11.2417,Yes
female,40.0,False,1,0,3,C,Southampton,9.475,No
female,27.0,False,1,0,2,C,Southampton,21.0,No
male,27.0,True,0,0,3,C,Cherbourg,7.8958,No
female,3.0,False,1,2,2,C,Cherbourg,41.5792,Yes
female,19.0,True,0,0,3,C,Queenstown,7.8792,Yes
male,19.0,True,0,0,3,C,Southampton,8.05,No
male,19.0,False,1,0,3,C,Queenstown,15.5,No
female,19.0,True,0,0,3,C,Queenstown,7.75,Yes
male,19.0,False,2,0,3,C,Cherbourg,21.6792,No
female,18.0,False,1,0,3,C,Southampton,17.8,No
male,7.0,False,4,1,3,C,Southampton,39.6875,No
male,21.0,True,0,0,3,C,Southampton,7.8,No
female,49.0,False,1,0,1,D,Cherbourg,76.7292,Yes
female,29.0,False,1,0,2,C,Southampton,26.0,Yes
male,65.0,False,0,1,1,B,Cherbourg,61.9792,No
male,65.0,True,0,0,1,C,Southampton,35.5,Yes
female,21.0,True,0,0,2,C,Southampton,10.5,Yes
male,28.5,True,0,0,3,C,Cherbourg,7.2292,No
female,5.0,False,1,2,2,C,Southampton,27.75,Yes
male,11.0,False,5,2,3,C,Southampton,46.9,No
male,22.0,True,0,0,3,C,Cherbourg,7.2292,No
female,38.0,True,0,0,1,B,Other,80.0,Yes
male,45.0,False,1,0,1,C,Southampton,83.475,No
male,4.0,False,3,2,3,C,Southampton,27.9,No
male,4.0,True,0,0,1,C,Cherbourg,27.7208,No
male,4.0,False,1,1,3,C,Cherbourg,15.2458,Yes
female,29.0,True,0,0,2,F,Southampton,10.5,Yes
male,19.0,True,0,0,3,C,Southampton,8.1583,No
female,17.0,False,4,2,3,C,Southampton,7.925,Yes
male,26.0,False,2,0,3,C,Southampton,8.6625,No
male,32.0,True,0,0,2,C,Southampton,10.5,No
female,16.0,False,5,2,3,C,Southampton,46.9,No
male,21.0,True,0,0,2,C,Southampton,73.5,No
male,26.0,False,1,0,3,C,Cherbourg,14.4542,No
male,32.0,True,0,0,3,C,Southampton,56.4958,Yes
male,25.0,True,0,0,3,F,Southampton,7.65,No
male,25.0,True,0,0,3,C,Southampton,7.8958,No
male,25.0,True,0,0,3,C,Southampton,8.05,No
male,0.83,False,0,2,2,C,Southampton,29.0,Yes
female,30.0,True,0,0,3,C,Southampton,12.475,Yes
male,22.0,True,0,0,3,C,Southampton,9.0,No
male,29.0,True,0,0,3,C,Southampton,9.5,Yes
female,29.0,True,0,0,3,C,Queenstown,7.7875,Yes
male,28.0,True,0,0,1,C,Southampton,47.1,No
female,17.0,True,0,0,2,C,Southampton,10.5,Yes
female,33.0,False,3,0,3,C,Southampton,15.85,Yes
male,16.0,False,1,3,3,C,Southampton,34.375,No
male,16.0,True,0,0,3,C,Southampton,8.05,No
female,23.0,False,3,2,1,C,Southampton,263.0,Yes
male,24.0,True,0,0,3,C,Southampton,8.05,No
male,29.0,True,0,0,3,C,Southampton,8.05,No
male,20.0,True,0,0,3,C,Southampton,7.8542,No
male,46.0,False,1,0,1,E,Southampton,61.175,No
male,26.0,False,1,2,3,C,Southampton,20.575,No
male,59.0,True,0,0,3,C,Southampton,7.25,No
male,59.0,True,0,0,3,C,Southampton,8.05,No
male,71.0,True,0,0,1,A,Cherbourg,34.6542,No
male,23.0,False,0,1,1,D,Cherbourg,63.3583,Yes
female,34.0,False,0,1,2,C,Southampton,23.0,Yes
male,34.0,False,1,0,2,C,Southampton,26.0,No
