Nombre,Pais,Sexo,FechaNacimiento,Ganancias,AñoComenzoPatinar
alina zagitova,Rusia,Mujer,"Mayo 18, 2002",5320,2007
carolina kostner,Italia,Mujer,"Febrero 8, 1987",3212,1990
dmitri aliev,Rusia,Hombre,"Junio 1, 1999",3063,2005
evgenia medvedeva,Rusia,Mujer,"Noviembre 19, 1999",4306,2004
gabrielle daleman,Canada,Mujer,"Junio 13, 1998",2724,2002
jason brown,Estados Unidos,Hombre,"Diciembre 15, 1994",3674,1999
javier fernandez,EspaÃ±a,Hombre,"Abril 15, 1991",3436,1997
kaetlyn osmond,Canada,Mujer,"Diciembre 5, 1995",4174,1998
matteo rizzo,Italia,Hombre,"Septiembre 5, 1998",3094,2006
mirai nagasu,Estados Unidos,Mujer,"Abril 16, 1993",2066,1998
nathan chen,Estados Unidos,Hombre,"Mayo 5, 1999",5414,2002
satoko miyahara,Japon,Mujer,"Marzo 26, 1998",4342,2002
shoma uno,Japon,Hombre,"Diciembre 17, 1997",5059,2002
yuzuru hanyu,Japon,Hombre,"Diciembre 7, 1994",4780,1998
