name,japanese_name,generation,classfication,type1,type2,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,base_egg_steps,base_happiness,base_total,attack,defense,sp_attack,sp_defense,capture_rate,experience_growth,speed,height_m,weight_kg,hp,pokedex_number,is_legendary
Bulbasaur,Fushigidaneフシギダネ,1,Seed Pokémon,grass,poison,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120,70,318,49,49,65,65,45,1059860,45,0.7,6.9,45,1,No
Ivysaur,Fushigisouフシギソウ,1,Seed Pokémon,grass,poison,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120,70,405,62,63,80,80,45,1059860,60,1.0,13.0,60,2,No
Venusaur,Fushigibanaフシギバナ,1,Seed Pokémon,grass,poison,"['Overgrow', 'Chlorophyll']",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,5120,70,625,100,123,122,120,45,1059860,80,2.0,100.0,80,3,No
Charmander,Hitokageヒトカゲ,1,Lizard Pokémon,fire,,"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120,70,309,52,43,60,50,45,1059860,65,0.6,8.5,39,4,No
Charmeleon,Lizardoリザード,1,Flame Pokémon,fire,,"['Blaze', 'Solar Power']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,5120,70,405,64,58,80,65,45,1059860,80,1.1,19.0,58,5,No
Charizard,Lizardonリザードン,1,Flame Pokémon,fire,flying,"['Blaze', 'Solar Power']",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,5120,70,634,104,78,159,115,45,1059860,100,1.7,90.5,78,6,No
Squirtle,Zenigameゼニガメ,1,Tiny Turtle Pokémon,water,,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120,70,314,48,65,50,64,45,1059860,43,0.5,9.0,44,7,No
Wartortle,Kameilカメール,1,Turtle Pokémon,water,,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120,70,405,63,80,65,80,45,1059860,58,1.0,22.5,59,8,No
Blastoise,Kamexカメックス,1,Shellfish Pokémon,water,,"['Torrent', 'Rain Dish']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,5120,70,630,103,120,135,115,45,1059860,78,1.6,85.5,79,9,No
Caterpie,Caterpieキャタピー,1,Worm Pokémon,bug,,"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3840,70,195,30,35,20,20,255,1000000,45,0.3,2.9,45,10,No
Metapod,Transelトランセル,1,Cocoon Pokémon,bug,,['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3840,70,205,20,55,25,25,120,1000000,30,0.7,9.9,50,11,No
Butterfree,Butterfreeバタフリー,1,Butterfly Pokémon,bug,flying,"['Compoundeyes', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,3840,70,395,45,50,90,80,45,1000000,70,1.1,32.0,60,12,No
Weedle,Beedleビードル,1,Hairy Pokémon,bug,poison,"['Shield Dust', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,3840,70,195,35,30,20,20,255,1000000,50,0.3,3.2,40,13,No
Kakuna,Cocoonコクーン,1,Cocoon Pokémon,bug,poison,['Shed Skin'],0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,3840,70,205,25,50,25,25,120,1000000,35,0.6,10.0,45,14,No
Beedrill,Spearスピアー,1,Poison Bee Pokémon,bug,poison,"['Swarm', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,3840,70,495,150,40,15,80,45,1000000,145,1.0,29.5,65,15,No
Pidgey,Poppoポッポ,1,Tiny Bird Pokémon,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3840,70,251,45,40,35,35,255,1059860,56,0.3,1.8,40,16,No
Pidgeotto,Pigeonピジョン,1,Bird Pokémon,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3840,70,349,60,55,50,50,120,1059860,71,1.1,30.0,63,17,No
Pidgeot,Pigeotピジョット,1,Bird Pokémon,normal,flying,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3840,70,579,80,80,135,80,45,1059860,121,1.5,39.5,83,18,No
Rattata,Korattaコラッタ,1,Mouse Pokémon,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840,70,253,56,35,25,35,255,1000000,72,,,30,19,No
Raticate,Rattaラッタ,1,Mouse Pokémon,normal,dark,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3840,70,413,71,70,40,80,127,1000000,77,,,75,20,No
