sexo,edad,conyuge_a_bordo,hijos_a_bordo,clase,tarifa,puerto_embarque,cubierta,sobrevivio?
Hombre,22,1,0,Tercera,7.25,Southampton,U,No
Mujer,38,1,0,Primera,71.28,Cherbourg,C,Si
Mujer,26,0,0,Tercera,7.93,Southampton,U,Si
Mujer,35,1,0,Primera,53.1,Southampton,C,Si
Hombre,35,0,0,Tercera,8.05,Southampton,U,No
Hombre,29,0,0,Tercera,8.46,Queenstown,U,No
Hombre,54,0,0,Primera,51.86,Southampton,E,No
Hombre,2,3,1,Tercera,21.08,Southampton,U,No
Mujer,27,0,2,Tercera,11.13,Southampton,U,Si
Mujer,14,1,0,Segunda,30.07,Cherbourg,U,Si
Mujer,4,1,1,Tercera,16.7,Southampton,G,Si
Mujer,58,0,0,Primera,26.55,Southampton,C,Si
Hombre,20,0,0,Tercera,8.05,Southampton,U,No
Hombre,39,1,5,Tercera,31.28,Southampton,U,No
Mujer,14,0,0,Tercera,7.85,Southampton,U,No
Mujer,55,0,0,Segunda,16,Southampton,U,Si
Hombre,2,4,1,Tercera,29.13,Queenstown,U,No
Hombre,29,0,0,Segunda,13,Southampton,U,Si
Mujer,31,1,0,Tercera,18,Southampton,U,No
Mujer,29,0,0,Tercera,7.23,Cherbourg,U,Si
Hombre,35,0,0,Segunda,26,Southampton,U,No
Hombre,34,0,0,Segunda,13,Southampton,D,Si
Mujer,15,0,0,Tercera,8.03,Queenstown,U,Si
Hombre,28,0,0,Primera,35.5,Southampton,A,Si
Mujer,8,3,1,Tercera,21.08,Southampton,U,No
Mujer,38,1,5,Tercera,31.39,Southampton,U,Si
Hombre,29,0,0,Tercera,7.23,Cherbourg,U,No
Hombre,19,3,2,Primera,263,Southampton,C,No
Mujer,29,0,0,Tercera,7.88,Queenstown,U,Si
Hombre,29,0,0,Tercera,7.9,Southampton,U,No
Hombre,40,0,0,Primera,27.72,Cherbourg,U,No
Mujer,29,1,0,Primera,146.52,Cherbourg,B,Si
Mujer,29,0,0,Tercera,7.75,Queenstown,U,Si
Hombre,66,0,0,Segunda,10.5,Southampton,U,No
Hombre,28,1,0,Primera,82.17,Cherbourg,U,No
Hombre,42,1,0,Primera,52,Southampton,U,No
Hombre,29,0,0,Tercera,7.23,Cherbourg,U,Si
Hombre,21,0,0,Tercera,8.05,Southampton,U,No
Mujer,18,2,0,Tercera,18,Southampton,U,No
Mujer,14,1,0,Tercera,11.24,Cherbourg,U,Si
Mujer,40,1,0,Tercera,9.48,Southampton,U,No
Mujer,27,1,0,Segunda,21,Southampton,U,No
